Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
Overlund Fjernvarmeværk A.m.b.a.;8800;600;11600;15000;905;6,42%;2.263;17,80%;
Padborg Fjernvarme A.m.b.a.;6330;494;9575;12412;0;0,00%;0;0%;
Pindstrup Varmeværk A.m.b.a. ;8550;688;13308;17099;-3.019;-15,01%;0;0%;
Præstbro Kraftvarmeværk A.m.b.a.;9330;500;13750;15300;-5.996;-28,15%;1.131;8,00%;
Præstø Fjernvarme A.m.b.a.;4720;788;14931;19145;483;2,59%;2.582;15,60%;
Ramme Varmeværk ;7620;500;11079;13144;-1.810;-12,10%;-905;-6,40%;
Ramsing-Lem-Lihme Kraftvarmeværk;7860;619;15844;17762;-756;-4,08%;2.681;17,80%;
Randers, Verdo Varme A/S (Energi Randers Varme) ;8920;664;11726;14712;-1.267;-7,93%;-634;-4,10%;
Rask Mølle Varmeværk;8763;613;12281;15761;0;0,00%;0;0%;
Ravnkilde Kraftvarmeværk A.m.b.a.*;9610;400;10500;11740;-10.240;-46,59%;0;0%;* For varmeværker, der af forskellige årsager mangler prisanmeldelse for januar 2019, er prisanmeldelsen for den senest indberettede periode anvendt. Forsyningstilsynet har været i kontakt med de pågældende forsyninger.
REFA Gedser Fjernvarme A/S;4874;586;13286;17213;0;0,00%;0;0%;
REFA Kettinge Forsyning ApS;4892;727;14366;18746;-1.028;-5,20%;0;0%;
REFA, Stubbekøbing Fjernvarme A/S;4800;417;11044;14934;-1.577;-9,55%;-377;-2,50%;
Rejsby Kraftvarme;6780;550;13563;16955;-4.144;-19,64%;-1.881;-10,00%;
Ribe Fjernvarme Amba;6760;469;10719;12828;566;4,61%;566;4,60%;
Ringe Fjernvarmeselskab;5750;531;9467;11846;1.896;19,05%;2.319;24,30%;
Ringkøbing Fjernvarmeværk A.m.b.a. ;6950;425;9006;11927;2.036;20,58%;2.036;20,60%;
RINGSTED FJERNVARME A/S;4100;458;9152;11765;83;0,71%;83;0,70%;
Rise Fjernvarme Amba;5970;890;20725;23484;0;0,00%;0;0%;
Roskilde Varme A/S;4000;531;10275;13385;653;5,13%;486;3,80%;
