aar,cvr,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
2021,10689414,1245,1245-2,Ø. Brønderslev Kraftvarmeværk,9700,Brønderslev,810,277,Brønderslev Fjernvarme,31,Ø Brønderslev Fjernvarmeværk,0.0,DC,Decentralt værk,Motoranlæg,Forbrændingsmotor,353000.0,350030.0,kvt,1996-06-01,00:00:00,8.75,1.84,6.91,45.6364368,33.228,33.228,8.352,8.352,0.7569933764666666,0.24300662353333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2124368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.424,0.0,0.0,0.0
2021,10866111,285,285-10,I/S Vestforbrænding,2600,Glostrup,161,2,Storkøbenhavns Fjernvarme,259,I/S VESTFORBRÆNDING,1.0,ER,Erhvervsværk,Anlæg 5 - dampturbine,Dampturbine,382120.0,383900.0,pev,1998-12-07,00:00:00,375.087,39.0,309.847,5541.19708084,4393.9136,4393.838000000001,715.5,615.222,0.8666679479714287,0.06190199345714286,0.07143005857142858,0.0,0.0,0.0,8.031293,0.0,0.0,315.93158784,5202.6072,0.0,0.0,0.0,0.0,0.0,0.0,14.627,0.0,0.0,0.0,0.0
2021,10869609,1143,1143-1,Christiansdal Vandkraftanlæg,6500,Vojens,510,0,0,1523,Den Selvejende Institution Tørning Mølle,0.0,VA,Vandkraftværk,-,Vandkraft,841300.0,840010.0,vkt,1911-01-01,00:00:00,0.29,0.29,0.0,0.6552,0.0,0.0,0.6552000000000001,0.6552000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6552000000000001,0.0,0.0
2021,10877814,29,29-2,Tistrup Varmeværk,6862,Tistrup,573,137,Tistrup Fjernvarme,24,TISTRUP VARMEVÆRK,0.0,DC,Decentralt værk,Kedel,Kedel,351100.0,350010.0,fvv,1978-01-01,2022-12-31 00:00:00,16.252222,2.1,13.47,55.1913804,48.817656,48.137904,6.240672,6.190416,0.71579848144,0.28420151856000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3706684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.820712,0.0,0.0,0.0
2021,11000738,1580,1580-1,Koppers Denmark ApS,5800,Nyborg,450,82,Nyborg Fjernvarme,1598,KOPPERS DENMARK ApS,0.0,ER,Erhvervsværk,Fjernvarmeanlæg,Overskudsvarme,201400.0,200010.0,pvp,2000-01-01,00:00:00,15.0,0.0,4.5,80.0028,80.00280000000001,80.00280000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.00280000000001,0.0,0.0,0.0,0.0
2021,11110011,1526,1526-1,Å-Møllen,5800,Nyborg,450,0,0,1532,Å-Møllen,0.0,VA,Vandkraftværk,vandkraft,Vandkraft,351100.0,350010.0,vkt,1981-01-26,2023-05-04 00:00:00,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,11110026,1922,1922-1,"Geotermisk anlæg, Amagerværket",2300,København S,101,2,Storkøbenhavns Fjernvarme,1826,HGS - Hovedstadsområdets Geotermiske Samarbejde,0.0,FJ,Fjernvarmeværk,Demonstrationsanlæg,Geotermi,353000.0,350030.0,fvv,2005-08-01,00:00:00,15.77,0.0,19.12,22.2048,22.2048,22.2048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.509600000000001,14.6952
2021,11135617,24,24-1,"Maribo Varmeværk, C. E. Christiansensvej 40",4930,Maribo,360,48,Maribo Fjernvarme,2037,MARIBO VARMEVÆRK AMBA,0.0,FJ,Fjernvarmeværk,BIO-VÆRKET,Kedel,353000.0,350030.0,fvv,1982-01-01,00:00:00,28.0,0.0,28.5,330.1515,329.4432,329.4432,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2232,0.0,236.9283,0.0,0.0,0.0,0.0,0.0,0.0
2021,11218415,240,240-1,Hørby Varmeværk,9300,Sæby,813,327,Hørby Fjernvarme,231,HØRBY VARMEVÆRK,0.0,FJ,Fjernvarmeværk,Halm,Kedel,353000.0,350030.0,fvv,2001-10-25,00:00:00,5.7,0.0,5.6,60.316,60.48,60.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.676,0.0,5.288,1.352,0.0,0.0,0.0,0.0,0.0,0.0
2021,11271715,41,41-2,Ans Kraftvarmeværk,8643,Ans By,740,243,Ans Fjernvarme,35,Ans Kraftvarmeværk A M B A,0.0,DC,Decentralt værk,kedel,Kedel,353000.0,350030.0,fvv,1987-10-01,00:00:00,9.8,2.5,7.3,89.079804,50.97600000000001,49.9968,33.4008,32.6412,0.6331763753499999,0.36682362465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.07980400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
