fv_net_navn,vaerk_postnr,vaerk_postdistrikt,aar,fv_net,vaerk_kommune,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
0,0.0,0,2016,0.0,259.0,83.831666,31.34,18.72,365.98694112941183,188.962159,16.930799999999998,120.9167784,120.9167784,0.0,0.0,0.0,0.082501,0.0,0.0,2.4277176000000003,0.0,339.15972252941185,22.04,0.0,0.0,0.0,0.0,0.0,0.0,2.277,0.0,0.0
0,0.0,0,2017,0.0,259.0,85.68166599999999,32.07,19.82,417.25292562,228.179664,44.7264,129.0559176,129.0559176,0.0,0.0,0.0,0.0520115,0.0,0.0,0.68208912,0.0,359.774405,54.3605,0.0,0.0,0.0,0.0,0.0,0.0,2.38392,0.0,0.0
0,0.0,0,2018,0.0,259.0,88.231666,32.854,21.33,408.988082962,226.68426,44.8992,127.2316282596,127.2316282596,0.0,0.0,0.0,0.0,0.0,0.0,1.2388068,0.0,357.621391,48.038355,0.0,0.0,0.0,0.0,0.0,0.0,2.089530162,0.0,0.0
0,0.0,0,2019,0.0,259.0,89.131666,33.224,21.93,449.7071129052,247.551624,45.306,140.1454012396131,140.1454012396131,0.0,0.0,0.0,0.3587,0.0,0.0,0.9598248,0.0,398.236444,48.5895,0.0,0.0,0.0,0.0,0.0,0.0,1.5626441052,0.0,0.0
0,0.0,0,2020,0.0,259.0,88.281666,32.88399999999999,21.42,396.7164202,220.40712,42.6852,123.8280588,123.8280588,0.0,0.0,0.0,0.3536782,0.0,0.0,0.4061376,0.0,351.28479600000003,42.7866,0.0,0.0,0.0,0.0,0.0,0.0,1.8852084,0.0,0.0
0,0.0,0,2021,0.0,510.0,5.07,1.81,2.8,2.44375,1.2312,0.0,0.918,0.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,2022,0.0,510.0,5.07,1.81,2.8,0.036,0.0,0.0,0.0144,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,2023,0.0,510.0,5.07,1.81,2.8,6.5228,3.11292,0.0,2.36088,2.36088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6200.0,Aabenraa,2000,0.0,580.0,1680.98,626.158,260.99,28506.649972,907.516,900.722,12117.4074972,11751.3299412,28356.21,138.839,0.0,2.356,0.0,0.0,0.0,0.0,8.189832,1.04914,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0
0,6200.0,Aabenraa,2001,0.0,580.0,1680.98,626.158,260.99,29699.70970864,975.352,948.41,12273.0811128,11929.1291568,27937.97,178.11700000000002,0.0,19.10965264,0.0,0.0,0.0,0.0,15.013055999999999,1549.48,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
