vaerk_id,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
5,5-3,Aulum Fjernvarme A.m.b.a. (Kulvej 5),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,1.0,DC,Decentralt værk,Naturgas kedel,Kedel,353000.0,350030.0,fvv,2006-02-01,00:00:00,11.0,0.0,11.0,5.905548,6.02208,6.02208,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.905548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5-5,Aulum Fjernvarme A.m.b.a. (Kulvej 5),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,1.0,DC,Decentralt værk,Elkedel (ikke kvoteomfattet),Elpatron,353000.0,350030.0,fvv,2010-10-01,00:00:00,10.0,0.0,10.0,24.963264,24.75936,24.75936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.963264,0.0
5,5-6,Aulum Fjernvarme A.m.b.a. (Kulvej 5),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,1.0,DC,Decentralt værk,Solvarme,Solvarme,353000.0,350030.0,fvv,2015-09-01,00:00:00,11.1,0.0,11.1,23.5296,23.5296,23.5296,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5296,0.0,0.0,0.0
6,6-10,Aabybro Fjernvarmeværk,2021,9440,Aabybro,849,329,Aabybro Fjernvarme,6,17779710,AABYBRO FJERNVARME,0.0,FJ,Fjernvarmeværk,Biomasse kedel,Kedel,353000.0,350030.0,fvv,2016-04-14,00:00:00,10.0,0.0,10.0,155.635,162.666,162.666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6-8,Aabybro Fjernvarmeværk,2021,9440,Aabybro,849,329,Aabybro Fjernvarme,6,17779710,AABYBRO FJERNVARME,0.0,FJ,Fjernvarmeværk,Gaskedel 3,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,4.0,0.0,4.0,0.0560736,0.0576,0.0576,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05607360000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6-11,Aabybro Fjernvarmeværk,2021,9440,Aabybro,849,329,Aabybro Fjernvarme,6,17779710,AABYBRO FJERNVARME,0.0,FJ,Fjernvarmeværk,Solvarme,Solvarme,353000.0,350030.0,fvv,2018-09-15,00:00:00,17.0,0.0,17.0,47.8008,47.8008,47.8008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8008,0.0,0.0,0.0
6,6-9,Aabybro Fjernvarmeværk,2021,9440,Aabybro,849,329,Aabybro Fjernvarme,6,17779710,AABYBRO FJERNVARME,0.0,FJ,Fjernvarmeværk,Gaskedel 4,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,4.0,0.0,4.0,5.0152212,5.018400000000001,5.018400000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.015221200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7-17,Aalborg Portland A/S,2021,9220,Aalborg Øst,851,295,Aalborg Fjernvarme,2258,36428112,Aalborg Portland A/S,10.0,ER,Erhvervsværk,Varmegevindingsanlæg for ovn 76,Overskudsvarme,235100.0,230020.0,pvp,2003-11-20,00:00:00,80.0,0.0,32.0,562.789218,553.989,553.989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.989,0.0,0.0,8.800218000000001,0.0
7,7-16,Aalborg Portland A/S,2021,9220,Aalborg Øst,851,295,Aalborg Fjernvarme,2258,36428112,Aalborg Portland A/S,10.0,ER,Erhvervsværk,"Varmegenvindingsanlæg for ovn 73,74,78,79",Overskudsvarme,235100.0,230020.0,pvp,1991-11-12,00:00:00,182.0,0.0,70.0,1187.398116,1134.612,1106.654,0.0,0.0,0.9753589773,0.0,0.0246410227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.612,0.0,0.0,52.786116,0.0
8,8-2,"Nordværk I/S, Energianlæg Hjørring",2021,9800,Hjørring,860,298,Hjørring Fjernvarme (inkl. Hirtshals Fjernvarme fra 2011),8,23264757,AFFALDSSELSKABET VENDSYSSEL VEST I/S,1.0,ER,Erhvervsværk,Ovnlinje 3,Dampturbine,382120.0,383900.0,pev,1998-04-01,00:00:00,20.5,4.6,16.8,629.3325375,536.7272399999999,522.08964,131.879952,105.339996,0.414796319,0.5735742171,0.0116294639,0.0,0.0,0.47347,1.0205015,0.0,0.0,0.0,590.5800599999999,0.0,3.05805,0.0,34.200456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8-1,"Nordværk I/S, Energianlæg Hjørring",2021,9800,Hjørring,860,298,Hjørring Fjernvarme (inkl. Hirtshals Fjernvarme fra 2011),8,23264757,AFFALDSSELSKABET VENDSYSSEL VEST I/S,1.0,ER,Erhvervsværk,Ovnlinje 2,Kedel,382120.0,383900.0,pvp,1986-01-01,00:00:00,11.1,0.0,18.5,275.7674683,324.42732,315.5796,0.0,0.0,0.9727281907,0.0,0.0272718093,0.0,0.0,0.05866,0.2460682,0.0,0.0,0.0,258.93574,0.0,1.3659,0.0,15.1611001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9-3,Agersted Varmeværk,2021,9330,Dronninglund,810,280,Agersted Fjernvarme,9,19774015,AGERSTED VARMEVÆRK,0.0,DC,Decentralt værk,Kedelanlæg,Kedel,353000.0,350030.0,fvv,1988-01-01,00:00:00,1.7,0.0,1.86,2.4419736,2.441988,2.441988,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4419736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
