vaerk_id,forsyid,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
1472,10411912,1472-2,"A/S Knud Jepsen, Trigevej 7",2023,8382,Hinnerup,710,0,0,1096,11757278,A/S KNUD JEPSEN,,ER,Erhvervsværk,Kraftvarmeanlæg,Forbrændingsmotor,11900.0,10000.0,pev,1998-10-01,00:00:00,2.07,0.8,1.02,10.6819416,5.35212,0.0,4.12164,3.11292,0.0,0.7494781286,0.2505218714,0.0,0.0,0.0,0.0,0.0,0.0,10.6819416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,00000004,754-15,AarhusKarlshamn Denmark A/S,2023,8000,Århus C,751,0,0,922,15672099,AAK DENMARK A/S,1.0,ER,Erhvervsværk,Kedel K6,Dampturbine,104100.0,100050.0,pev,2023-12-12,2023-12-12 00:00:00,82.8,3.56,77.19999999999999,5.26765036,4.56706,0.0,3.6e-05,0.0,0.0,1.182325e-05,0.99998817675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26765036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,,2054-1,Agerskov Skole,2021,6534,Agerskov,550,0,0,2084,29189781,Tønder kommune,0.0,LO,Lokalt værk,Gasmotor,Forbrændingsmotor,852010.0,850010.0,pev,2010-06-01,00:00:00,0.05,0.015,0.0306,0.0241164,0.01296,0.0,0.0072,0.0072,0.0,0.7313031796,0.2686968204,0.0,0.0,0.0,0.0,0.0,0.0,0.0241164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,,2054-1,Agerskov Skole,2022,6534,Agerskov,550,0,0,2084,29189781,Tønder kommune,0.0,LO,Lokalt værk,Gasmotor,Forbrændingsmotor,852010.0,850010.0,pev,2010-06-01,00:00:00,0.05,0.015,0.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,,2054-1,Agerskov Skole,2023,6534,Agerskov,550,0,0,2084,29189781,Tønder kommune,,LO,Lokalt værk,Gasmotor,Forbrændingsmotor,852010.0,850010.0,pev,2010-06-01,00:00:00,0.05,0.015,0.0306,0.0359964,0.01944,0.0,0.0108,0.0108,0.0,0.7299729973,0.2700270027,0.0,0.0,0.0,0.0,0.0,0.0,0.0359964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1483,,1483-5,Anholt Elværk,2021,8592,Anholt,707,0,0,2317,37371335,RF-Anholt ApS,0.0,DC,Decentralt værk,Maskine 5,Forbrændingsmotor,351100.0,350010.0,kvt,2000-01-01,00:00:00,5.62,2.4,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1483,,1483-5,Anholt Elværk,2022,8592,Anholt,707,0,0,2317,37371335,RF-Anholt ApS,0.0,DC,Decentralt værk,Maskine 5,Forbrændingsmotor,351100.0,350010.0,kvt,2000-01-01,00:00:00,5.62,2.4,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1483,,1483-5,Anholt Elværk,2023,8592,Anholt,707,0,0,2317,37371335,RF-Anholt ApS,,DC,Decentralt værk,Maskine 5,Forbrændingsmotor,351100.0,350010.0,kvt,2000-01-01,00:00:00,5.62,2.4,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,33258445,2355-1,"Arla Foods Energy, Nr. Vium Mejeri",2021,6920,Videbæk,760,0,0,1594,87469816,ARLA FOODS ENERGY A/S,0.0,ER,Erhvervsværk,Biogasmotor,Forbrændingsmotor,105100.0,100030.0,pev,2018-01-01,00:00:00,7.3,3.0,4.0,137.772908732,49.42602,0.0,56.48688,56.48688,0.0,0.8206250399,0.1793749601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.772908732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,33258445,2355-1,"Arla Foods Energy, Nr. Vium Mejeri",2022,6920,Videbæk,760,0,0,1594,87469816,ARLA FOODS ENERGY A/S,0.0,ER,Erhvervsværk,Biogasmotor,Forbrændingsmotor,105100.0,100030.0,pev,2018-01-01,00:00:00,7.3,3.0,4.0,141.6715597,56.65599,0.0,61.23096,61.23096,0.0,0.8000445886,0.1999554114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.6715597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
