vaerk_id,aar,fv_net_navn,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vrkanl_ny,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
2009,2023,,Glatved Losseplads (Nymandsvej),8444,Balle,2009-2,707,0,1542,25024737,DEPONIGAS ApS,,LO,Lokalt værk,Deponianlæg,Forbrændingsmotor,382120.0,383900.0,pel,2017-05-08,00:00:00,0.12,0.04,0.0,2.711194,0.0,0.0,0.8676,0.8676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.711194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1161,2021,,Gosmer Biogas Aps,8300,Odder,1161-1,727,0,1231,14749330,GOSMER BIOGAS ApS,0.0,ER,Erhvervsværk,Gosmer 1 - Enggården,Forbrændingsmotor,331100.0,330000.0,pev,1992-01-01,2023-05-04 00:00:00,0.29,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1161,2022,,Gosmer Biogas Aps,8300,Odder,1161-1,727,0,1231,14749330,GOSMER BIOGAS ApS,0.0,ER,Erhvervsværk,Gosmer 1 - Enggården,Forbrændingsmotor,331100.0,330000.0,pev,1992-01-01,2023-05-04 00:00:00,0.29,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,2021,,Gram & Nybøl Godser,6510,Gram,1519-1,510,0,1525,38097512,GRAM OG NYBØL GODSER A/S,0.0,VA,Vandkraftværk,vandkraft,Vandkraft,551010.0,550000.0,vkt,1962-01-01,00:00:00,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,2022,,Gram & Nybøl Godser,6510,Gram,1519-1,510,0,1525,38097512,GRAM OG NYBØL GODSER A/S,0.0,VA,Vandkraftværk,vandkraft,Vandkraft,551010.0,550000.0,vkt,1962-01-01,00:00:00,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519,2023,,Gram & Nybøl Godser,6510,Gram,1519-1,510,0,1525,38097512,GRAM OG NYBØL GODSER A/S,,VA,Vandkraftværk,vandkraft,Vandkraft,551010.0,550000.0,vkt,1962-01-01,00:00:00,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,2021,,Grenaa Effektreserve AS,8500,Grenaa,1978-1,707,0,1895,30776828,Nordic Energy Invest AS,1.0,DC,Decentralt værk, Regulerkraftanlæg,Gasturbine,351100.0,350010.0,kvt,2008-08-27,00:00:00,84.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,2022,,Grenaa Effektreserve AS,8500,Grenaa,1978-1,707,0,1895,30776828,Nordic Energy Invest AS,1.0,DC,Decentralt værk, Regulerkraftanlæg,Gasturbine,351100.0,350010.0,kvt,2008-08-27,00:00:00,84.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,2023,,Grenaa Effektreserve AS,8500,Grenaa,1978-1,707,0,1895,30776828,Nordic Energy Invest AS,1.0,DC,Decentralt værk, Regulerkraftanlæg,Gasturbine,351100.0,350010.0,kvt,2008-08-27,00:00:00,84.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,2021,,Gødding Mølle,7183,Randbøl,1512-1,630,0,1518,34935319,A/S GØDDING MØLLE SKOVBRUG,0.0,VA,Vandkraftværk,vandkraft,Vandkraft,467310.0,460000.0,vkt,1983-12-06,00:00:00,0.02,0.02,0.0,0.0036,0.0,0.0,0.0036,0.0036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0
