PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1001516452;Agersted Varmeværk;9330;663;14050;17812;-91;-1%;0;0%;
1003267160;Albertslund Varmeværk;2620;762;13618;17250;1618;10%;1786;12%;
1001414567;Allingåbro Varmeværk A M B A;8961;600;13213;16760;2850;20%;905;6%;
1000214727;Als Fjernvarme A.m.b.a.;9560;525;11100;13815;2060;18%;0;0%;
1001852238;Andelsselskabet Mølholm Varmeværk;7100;738;13188;16574;3394;26%;453;3%;
1000445617;Andelsselskabet Oksbøl Varmeværk;6840;810;16194;20269;7462;58%;720;4%;
1002907871;Ans Fjernvarmeværk A M B A;8643;988;17040;21295;4073;24%;-8824;-29%;
1002158896;Ansager Varmeværk;6823;400;11600;16428;-813;-5%;0;0%;
1002330178;Arden Varmeværk;9510;925;17325;22173;9700;78%;1748;9%;
1024700972;Assens Fjernvarme (Fyn) Distribution A/S;5610;461;9410;12211;1861;18%;4668;62%;
1001620419;Assens Fjernvarme Amba - Jylland;9550;588;13531;17321;2513;17%;-679;-4%;
1001352177;Astrup Kraftvarmeværk A.m.b.a.;9510;875;19750;22463;5707;34%;2213;11%;
1002016230;Asaa Fjernvarme;9340;469;10391;13528;-431;-3%;-470;-3%;
1001775537;Aulum Fjernvarme Amba;7490;663;15438;20516;5820;40%;-1248;-6%;
1001583674;Auning Varmeværk A M B A;8963;500;10156;13288;-453;-3%;-3823;-22%;
1000707406;Avedøre Fjernvarme Amba;2650;438;14335;17112;3519;26%;2293;15%;
1010705653;Ballen/Brundby Varmeværk;8305;956;20244;23208;5037;28%;0;0%;
1001609247;Balling-Rødding Varmeværk A.m.b.a.;7860;653;13788;18010;3897;28%;0;0%;
1001507375;Bedsted Fjernvarme;7755;750;15484;18256;2263;14%;-4073;-18%;
1001753730;Billund Varmeværk A.m.b.a.;7190;700;12500;15770;3818;32%;0;0%;
1001785816;Bindslev Fjernvarme A M B A;9881;544;12219;15967;869;6%;339;2%;
1001207403;Blenstrup Kraftvarmeværk A.m.b.a.;9520;750;18200;20525;3633;22%;1471;8%;
1003733569;Blåhøj Energiselskab Amba;7330;656;13000;16066;7216;82%;2964;23%;
1002196453;Bogense Forsyningsselskab;5400;500;9781;12363;2941;31%;1131;10%;
1011404398;Boligselskabet Viborg - Houlkær Varmecentral;8800;1136;17824;-;-;-;-;-;
1002027401;Boligselskabet Viborg - Vestervang Varmecentral;8800;1138;17749;-;-;-;-;-;
1014542643;Bornholms Varme A/S;3700;728;16920;21540;2458;13%;2458;13%;
1000825228;Borup Varmeværk A M B A;4140;463;9686;12910;-161;-1%;368;3%;
1003512223;Boulstrup-Hou Kraftvarmeværk Amba;8300;800;14813;18668;1045;6%;1045;6%;
1002170663;Bramming Fjernvarme A.m.b.a.;6740;750;13866;18109;6029;50%;-5723;-24%;
1002075632;Brande Fjernvarme Amba;7330;856;15531;19561;6859;54%;-2263;-10%;
1001553293;Bredebro Varmeværk A M B A;6261;438;8969;11769;-905;-7%;566;5%;
1001727276;Bredsten-Balle Kraftvarmeværk A.m.b.a.;7182;862;15335;19381;1114;6%;2528;15%;
1002097051;Broager Fjernvarmeselskab;6310;688;14188;17981;2378;15%;-5656;-24%;
1001759685;Brovst Fjernvarme Andelsselskab;9460;725;14000;17623;4073;30%;2263;15%;
1002194760;Brædstrup Fjernvarme A M B A;8740;425;9219;12118;3148;35%;-792;-6%;
