PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
1001516452;Agersted Varmeværk;9330;326;7394;9780;-2;-17,23%;-566;-5,50%;
1003267160;Albertslund Varmeværk;2620;700;12552;15990;3;21,60%;686;4,50%;
1001414567;Allingåbro Varmeværk;8961;438;10188;13231;0;0,00%;0;0%;
1000214727;Als Fjernvarme a.m.b.a.;9560;425;9350;11755;-13;-0,11%;0;0%;
1002907871;Ans Kraftvarmeværk;8643;740;13544;16815;2;11,03%;4;26,80%;
1002158896;Ansager Varmeværk;6823;344;10994;15816;-823;-4,95%;0;0%;
1002330178;Arden Varmeværk;9510;475;9650;12473;2;19,71%;2;14,40%;
1001620419;Assens Fjernvarme Amba - Fyn;5610;409;7860;9982;82;0,83%;210;2,20%;
1001620419;Assens Fjernvarme Amba - Jylland;9550;475;11594;15035;-453;-2,92%;-453;-2,90%;
1001352177;Astrup Kraftvarmeværk;9510;450;13438;14833;-2;-13,83%;5;46,30%;
1002016230;Asaa Fjernvarme;9340;438;9969;12906;2;22,06%;2;23,60%;
1002096146;Augustenborg Fjernvarme;6440;531;11156;14041;566;4,20%;1;8,80%;
1001775537;Aulum Fjernvarme A.m.b.a.;7490;500;11213;15375;7;75,84%;6;55,70%;
1001583674;Auning Varmeværk;8963;525;10531;13740;1;10,96%;1;11,00%;
1000707406;Avedøre Fjernvarme A.m.b.a. ;2650;360;11139;13273;-298;-2,19%;420;3,30%;
1010705653;Ballen/Brundby Varmeværk;8305;713;15963;18171;-730;-3,86%;-1;-6,80%;
1001609247;Balling-Rødding Varmeværk A.m.b.a.**;7860;585;10925;14114;-71;-0,50%;115;0,80%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001507375;Bedsted Fjernvarme;7755;575;12578;14601;453;3,20%;453;3,20%;
1001753730;Billund Varmeværk ;7190;440;8225;10414;-2;-14,63%;-1;-12,20%;
1001785816;Bindslev Fjernvarme;9881;231;6984;9419;-113;-1,19%;-226;-2,30%;
1001207403;Blenstrup Kraftvarmeværk A.m.b.a.;9520;550;14200;15905;-3;-16,61%;0;0%;
