PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1001516452;Agersted Varmeværk;9330;663;14050;17812;-91;-1%;1448;8,85%;
1003267160;Albertslund Varmeværk;2620;735;12430;15465;-168;-1%;1660,99;12,03%;
1001414567;Allingåbro Varmeværk A M B A;8961;550;12463;15855;1945;14%;1357,5;9,36%;
1000214727;Als Fjernvarme A.m.b.a.;9560;525;11100;13815;2060;18%;1583,75;12,95%;
1001852238;Andelsselskabet Mølholm Varmeværk;7100;713;12813;16121;2941;22%;2941,25;22,32%;
1000445617;Andelsselskabet Oksbøl Varmeværk;6840;810;15474;19549;6742;53%;1764,75;9,92%;
1002907871;Ans Fjernvarmeværk A M B A;8643;1475;24353;30119;12896;75%;7760,38;34,71%;
1002158896;Ansager Varmeværk;6823;400;11600;16428;-813;-5%;452,5;2,83%;
1002330178;Arden Varmeværk;9510;850;15975;20425;7953;64%;1357,5;7,12%;
1024700972;Assens Fjernvarme (Fyn) Distribution A/S;5610;272;5856;7542;-2807;-27%;-1953,66;-20,57%;
1001620419;Assens Fjernvarme Amba - Jylland;9550;625;14094;18000;3191;22%;3191,25;21,55%;
1001352177;Astrup Kraftvarmeværk A.m.b.a.;9510;806;17750;20249;3494;21%;5543,13;37,69%;
1002016230;Asaa Fjernvarme;9340;481;10719;13998;39;0%;2070;17,35%;
1001775537;Aulum Fjernvarme Amba;7490;763;16100;21764;7068;48%;6938,75;46,80%;
1001583674;Auning Varmeværk A M B A;8963;625;13195;17110;3370;25%;4275;33,31%;
1000707406;Avedøre Fjernvarme Amba;2650;387;12427;14819;1226;9%;1275,18;9,42%;
1010705653;Ballen/Brundby Varmeværk;8305;956;20244;23208;5037;28%;5036,88;27,72%;
1001609247;Balling-Rødding Varmeværk A.m.b.a.;7860;653;13788;18010;3897;28%;3482,5;23,97%;
1001507375;Bedsted Fjernvarme;7755;975;18859;22329;6335;40%;6787,5;43,67%;
1001753730;Billund Varmeværk A.m.b.a.;7190;700;12500;15770;3818;32%;3597;29,55%;
1001785816;Bindslev Fjernvarme A M B A;9881;525;11938;15628;529;4%;3153,75;25,28%;
1001207403;Blenstrup Kraftvarmeværk A.m.b.a.;9520;669;16981;19054;2162;13%;1696,88;9,78%;
1003733569;Blåhøj Energiselskab Amba;7330;547;10977;13102;4252;48%;2620,31;25,00%;
1002196453;Bogense Forsyningsselskab;5400;438;8844;11231;1810;19%;1131,25;11,20%;
1011404398;Boligselskabet Viborg - Houlkær Varmecentral***;8800;1975;30405;-;-;-;-;-;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1002027401;Boligselskabet Viborg - Vestervang Varmecentral***;8800;1975;30312;-;-;-;-;-;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1014542643;Bornholms Varme A/S;3700;700;15331;19083;0;0%;0;0,00%;
1000825228;Borup Varmeværk A M B A;4140;461;11641;15620;2549;19%;3078,16;24,54%;
1003512223;Boulstrup-Hou Kraftvarmeværk Amba;8300;725;15375;17623;0;0%;1131,25;6,86%;
1002170663;Bramming Fjernvarme A.m.b.a.;6740;1050;18534;23831;11751;97%;8145;51,92%;
1002075632;Brande Fjernvarme Amba;7330;981;17406;21823;9122;72%;5882,5;36,90%;
1001553293;Bredebro Varmeværk A M B A;6261;406;8500;11203;-1471;-12%;0;0,00%;
1001727276;Bredsten-Balle Kraftvarmeværk A.m.b.a.;7182;722;13239;16852;-1414;-8%;1187,81;7,58%;
1002097051;Broager Fjernvarmeselskab;6310;1000;18875;23638;8034;51%;7692,5;48,24%;
1001759685;Brovst Fjernvarme Andelsselskab;9460;600;12125;15360;1810;13%;1810;13,36%;
1002194760;Brædstrup Fjernvarme A M B A;8740;469;9875;12909;3939;44%;2262,5;21,25%;
1003039566;Brøndby Fjernvarme AMBA;2605;445;8779;11371;-3;0%;631;5,88%;
1016879652;Brønderslev Varme A/S;9700;550;10375;13015;-131;-1%;276,25;2,17%;
1003817963;Brøns Kraftvarme A.m.b.a.;6780;938;18795;23153;6670;40%;7927,8;52,07%;
1000584343;Brørup Fjernvarme A M B A;6650;425;8938;11768;1358;13%;1357,5;13,04%;
1001479025;Bækmarksbro Varmeværk A.m.b.a.;7660;613;14563;18203;2516;16%;3421,25;23,15%;
1002074934;Bælum Varmeværk Amba;9574;1125;21750;25238;10181;68%;4525;21,85%;
1001503587;Bøvling Varmeværk;7650;475;9594;11960;458;4%;0;0,00%;
1002166965;Christiansfeld Fjernvarmeselskab A.m.b.a.;6070;1250;21719;27313;12444;84%;11425,63;71,92%;
1015733949;Din Forsyning Varme A/S;6715;698;13123;16208;3110;24%;3384,36;26,39%;
1015733949;Din Forsyning Varme A/S;6715;698;13123;16208;4621;40%;3912,3;31,82%;
1000353842;Dronninglund Fjernvarme;9330;1708;28905;36332;20358;127%;18163,08;99,97%;
1001773686;Durup Fjernvarme;7870;1049;19406;25978;10521;68%;734,25;2,91%;
1001803425;Dybvad Varmeværk Amba;9352;813;16063;19956;5430;37%;3393,75;20,49%;
1025580230;E.on Produktion Danmark A/S - Samtlige Prod.enheder;2000;1769;33757;40734;23119;131%;20785,66;104,20%;
2468246825;E.on Varme - Distribution;2000;1206;20852;25783;8914;53%;9629,42;59,61%;
1003010765;Ebeltoft Fjernvarmeværk;8400;654;12613;15738;5040;47%;5202,91;49,39%;
3541053802;Egedal Fjernvarme A/S Forsyningsområde 1****;3660;1250;22344;28488;-;-;-;-;**** Nogle værker er blevet oprettet efter den beregnede periode og derfor kan der ikke beregnes en ændring.
1000827232;Egtved Varmeværk;6040;606;11875;15336;-1131;-7%;1357,5;9,71%;
1001365764;Ejsing Fjernvarme A.m.b.a.;7830;863;18188;21611;1131;6%;1131,25;5,52%;
1001347598;Ejstrupholm Varmeværk A. M. B. A.;7361;650;14250;16265;1471;10%;0;0,00%;
1027307554;Ellehavegaard A/S***;4800;450;-;13945;-;-;-;-;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1015472304;Energi Ikast Varme A/S - Bording Kraftvarmeværk;7430;851;15519;19533;7974;69%;8280,75;73,59%;
1015110437;Engesvang-Moselund Kraftvarmeværk;7430;940;16850;21139;6639;46%;5814,63;37,94%;
1003276017;Engholm Varmecentral;3450;1867;32098;40703;27043;198%;27042,58;197,96%;
1002004427;Farsø Varmeværk A M B A;9640;500;10531;13113;1358;12%;1357,5;11,55%;
1002899982;Farum Fjernvarme A M B A;3520;1821;29948;36997;22143;149%;22255,64;150,97%;
1002329388;Faxe Fjernvarmeselskab;4640;651;9344;11788;-174;-1%;1108,25;10,38%;
1003191352;Fd Hvidovre  V/Ebo Consult A/S;2650;408;12403;14801;728;5%;1007,21;7,30%;
1001381379;Feldborg Kraftvarmeværk A.m.b.a.;7540;1221;22442;28290;9793;53%;10199,96;56,38%;
1001795913;Fensmark Fjernvarmeværk Amba;4684;938;16750;21306;8629;68%;7918,75;59,15%;
