PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1003311702;Ffv Varme A/S;5600;1250;20656;25563;9729;61%;13575;113,24%;
1001067947;Filskov Energiselskab;7200;0;0;0;-8650;-100%;-8650;-100,00%;
1003315472;Fjernvarme Fyn Distribution A/S;5230;485;8538;10729;-136;-1%;0;0,00%;
1003161700;Fjernvarme Horsens A.m.b.a;8700;666;13003;16690;4060;32%;2738,73;19,63%;
1001871680;Fjerritslev Fjernvarme;9690;644;12756;16567;4223;34%;4222,88;34,21%;
1001519542;Flauenskjold Fjernvarme;9330;1313;22969;28069;13069;87%;5150;22,47%;
1033033125;Fors Varme Holbæk Have****;4300;1925;32313;40343;-;-;-;-;**** Nogle værker er blevet oprettet efter den beregnede periode og derfor kan der ikke beregnes en ændring.
1016112662;Fors Varme Holbæk St. Merløse A/S;4300;875;16563;21338;3260;18%;3085,25;16,90%;
1016112816;Fors Varme Holbæk, Jyderup A/S;4300;1357;24907;32000;15132;90%;15088,48;89,22%;
3303312502;Fors Varme Kalvehave****;4300;1925;32313;40343;-;-;-;-;**** Nogle værker er blevet oprettet efter den beregnede periode og derfor kan der ikke beregnes en ændring.
1015965963;Fors Varme Roskilde A/S;4000;504;10455;13684;-389;-3%;637,63;4,89%;
1015712852;Forsyning Helsingør Varme;3000;449;11183;13880;-1690;-11%;-73,69;-0,53%;
1003045929;Fredericia Fjernvarme A.m.b.a;7000;410;9018;11937;2686;29%;3174,95;36,24%;
1001501791;Frederiks Varmeværk A M B A;7470;1250;22813;28750;15519;117%;15837,5;122,65%;
1010272870;Frederiksberg Fjernvarme A/S;2000;713;12527;16079;2196;16%;2746,5;20,60%;
1012874908;Frederikshavn Varme A/S;9900;1200;20656;25683;11675;83%;12896,25;100,86%;
1003817999;Frifelt-Roager Kraftvarme Amba;6780;950;20750;24695;4525;22%;4525;22,43%;
1000881784;Frøstrup Fjernvameværk A M B A;7741;406;11498;14338;-2235;-13%;618,92;4,51%;
1008759150;Fuglebjerg Fjernvarmeværk;4250;585;12556;16776;2528;18%;2301,63;15,90%;
1003452650;Fur Kraftvarmeværk A.m.b.a.;7884;1141;24869;28407;13973;97%;5210,5;22,46%;
1018861131;Føns Nærvarme A.m.b.a.;5580;1075;20250;26608;4435;20%;4434,5;20,00%;
1001843381;Galten Varmeværk A M B A;8464;366;8325;9974;-115;-1%;337,19;3,50%;
1002248681;Gartneres Varmeforsyning I Bellinge - Fangel Aps;5250;443;7968;9547;667;8%;-0,01;0,00%;
1002492813;Gartneres Varmeforsyning I Åsum Og Langeskov Aps;5250;437;8019;9609;784;9%;0;0,00%;
1002630107;Gartnernes Fjernvarmeforsyning I Odense Nord Aps;5250;441;8580;10287;1038;11%;0;0,00%;
1001349413;Gassum-Hvidsten Kraftvarmeværk;8981;521;14475;17760;2964;20%;1461,88;8,97%;
1001440711;Gauerslund Fjernvarme;7080;650;11969;15359;3620;31%;3620;30,84%;
1001772848;Gedsted Varmeværk;9631;675;14156;17929;2435;16%;1017,5;6,02%;
1000509106;Gelsted Fjernvarmecentral;5591;898;17181;21682;3836;21%;4514,75;26,30%;
1003451502;Genner, Hellevad Og Hovslund Forende Kraftvarmeværker A.m.b.a.;6230;550;12875;16505;-2085;-11%;452,5;2,82%;
1003262352;Gentofte Fjernvarme;2820;516;13658;16270;2415;17%;2813,49;20,91%;
1007789161;Gev Varme A/S;7200;260;7079;8888;1488;20%;0;0,00%;
1008891660;Gilleleje Fjernvarme A M B A;3250;625;12375;16000;2022;14%;1696,88;11,86%;
1001770195;Give Fjernvarme A M B A;7323;570;10863;13867;2783;25%;2383,88;20,76%;
1000753087;Gjerlev Fjernvarmeværk A.m.b.a.;8983;450;12375;15970;-1547;-9%;0;0,00%;
1001214793;Gjøl Private Kraftvarmeværk A.m.b.a.;9440;750;16250;20450;905;5%;4525;28,41%;
1003264343;Gladsaxe Kommunes Fjernvarmeforsyning;2860;527;13707;16381;3649;29%;2940,49;21,88%;
1001582757;Glamsbjerg-Haarby Varmeværk A.m.b.a.;5620;713;13000;16446;4525;38%;4525;37,96%;
1016140941;Glostrup Varme A/S;2600;322;14042;21011;11472;120%;11543,03;121,92%;
1002068790;Glyngøre Fjernvarmeværk;7870;1000;19063;23850;8856;59%;9389,38;64,93%;
1001743992;Gram Fjernvarme;6510;1125;17625;21113;1234;6%;-2612,5;-11,01%;
1017920967;Grenå Varmeværk A M B A;8500;323;7556;10000;243;2%;1501,5;17,67%;
1017198617;Greve Fjernvarme A.m.b.a.;2670;307;7636;10534;-1192;-10%;-1,02;-0,01%;
1017380741;Grevinge-Herrestrup Kraftvarme (Odsherred Varme A/S);4571;600;12825;16225;-2870;-15%;750;4,85%;
1001830261;Græsted Fjernvarme A.m.b.a;3230;740;13491;16988;1704;11%;1001,5;6,26%;
1025483363;Grøn Varme Samsø A/S - Tranebjerg;7752;700;11125;13295;-5985;-31%;-3215;-19,47%;
1001252921;Gudenådalens Energiselskab A.m.b.a. (Bjerringbro Varmeværk);8850;1433;25043;30654;15756;106%;14737,88;92,60%;
1015628495;Guldborgsund Varme;4800;588;11091;14227;-390;-3%;269,01;1,93%;
1001519815;Gørding Varmeværk;6690;600;10969;14273;2263;19%;2262,5;18,84%;
1003123407;Haderslev Fjernvarme;6100;864;14813;18246;7817;75%;7816,88;74,95%;
1007842267;Haderup Kraftvarmeværk A.m.b.a.;7540;1105;20697;26185;11067;73%;9867,58;60,47%;
1002257575;Hadsten Varmeværk;8370;466;10551;11995;2097;21%;1757,96;17,17%;
1002116755;Hadsund Fjernvarmeværk;9560;594;13156;15822;2602;20%;2556,63;19,27%;
1001392149;Hallund Kraftvarmeværk A.m.b.a.;9700;700;16500;18670;1086;6%;0;0,00%;
1001549704;Hals Fjernvarme A M B A;9370;525;10313;13040;0;0%;0;0,00%;
1016115076;Halsnæs Varme A/S;3300;925;16399;20613;6561;47%;8145;65,33%;
1001088346;Halvrimmen-Arentsminde Kraftvarmeværk Amba;9460;863;17344;21736;4299;25%;7353,13;51,12%;
1001822672;Hammel Fjernvarme Amba;8450;725;12219;15085;5706;61%;5026,88;49,98%;
1001555454;Hammershøj Fjernvarmeværk;8830;950;16313;20770;5996;41%;2262,5;12,22%;
1001554495;Hanstholm Varmeværk A M B A;7730;475;9938;12098;1280;12%;1732,5;16,71%;
1001018897;Harboøre Varmeværk A.m.b.a.;7673;338;7613;9739;1810;23%;2036,25;26,44%;
1001094436;Hashøj Kraftvarmeforsyning A.m.b.a.;4261;510;10736;14690;-7964;-35%;-22,63;-0,15%;
1002013802;Haslev Fjernvarme  A M B A;4690;668;13345;16946;405;2%;210,88;1,26%;
1001121158;Havndal Fjernvarme A.m.b.a.;8970;579;12728;15652;375;2%;375;2,45%;
1012117112;Havneby Varmeværk A.m.b.a.;6792;813;16375;21369;717;3%;246,88;1,17%;
1011271355;Hedegårdens Varmecentral I/S  C/O Ebo Consult A/S;2650;372;10985;13255;2199;20%;880,63;7,12%;
1001812204;Hedensted Fjernvarme;8722;1043;18731;23682;8747;59%;9253,63;64,14%;
1001011752;Hejnsvig Varmeværk A M B A;7250;550;12125;14655;3168;28%;3167,5;27,57%;
1001830583;Helsinge Fjernvarme;3200;950;16844;21233;7368;53%;8145;62,23%;
1004482427;Hemmet Varmeværk Amba*;6893;706;14750;18521;2602;16%;2601,88;16,34%;* For varmeværker, der af forskellige årsager mangler prisanmeldelse for januar 2023, er prisanmeldelsen for den senest indberettede periode anvendt. 
1014558531;Hillerød Varme A/S;3400;1113;20432;23880;11992;101%;11991,25;100,86%;
3000000001;Hillerød Varme A/S - Gørløse Fjernvarme;3400;1113;20432;23880;8480;55%;8480,35;55,07%;
3000000002;Hillerød Varme A/S - Meløse-St. Lyngby;3400;1113;24752;28200;11992;74%;11991,25;73,98%;
3000000003;Hillerød Varme A/S - Skævinge Fjernvarmeværk;3400;1113;20432;23880;7640;47%;7640,15;47,04%;
1002895495;Hinnerup Fjernvarme Amba;8382;481;9344;12142;1610;15%;1609,88;15,29%;
1001864776;Hirtshals Fjernvarme;9850;550;12250;15880;2275;17%;594;3,89%;
1001723737;Hjallerup Fjernvarmeværk;9320;913;16000;20066;3620;22%;0;0,00%;
1000379188;Hjordkær Fjernvarmeværk Amba;6230;378;8919;10779;-1015;-9%;622,19;6,13%;
1003156575;Hjørring Varmeforsyning;9800;434;9139;11033;925;9%;540,88;5,15%;
1001810468;Hobro Varmeværk A M B A;9500;744;12891;16055;4788;42%;3619,69;29,11%;
1004416316;Hofor Fjernvarme P/S;2300;653;12354;15309;339;2%;1001,51;7,00%;
1002146371;Holeby Fjernvarme;4960;474;10838;14074;543;4%;0;0,00%;
1001789264;Holme-Lundshøj Fjernvarmeværk A M B A;8270;656;11344;14341;416;3%;1267;9,69%;
1001747524;Holsted Varmeværk A.m.b.a.;6670;1330;23044;28336;11629;70%;7783;37,87%;
1002996529;Holte Fjernvarme A.m.b.a.;2840;1130;17840;25913;12420;92%;13631,38;110,99%;
1002186009;Hornbæk Fjernvarme A.m.b.a.;3100;600;11941;15568;-815;-5%;0;0,00%;
1001839701;Hornslet Fjernvarmeselskab Amba;8543;688;13164;15501;1203;8%;-452,5;-2,84%;
1026925246;Hornsyld Klimavarme A.m.b.a.****;8783;594;13875;17434;-;-;-;-;**** Nogle værker er blevet oprettet efter den beregnede periode og derfor kan der ikke beregnes en ændring.
1001550427;Hovedgård Fjernvarme Amba;8732;588;12600;16446;1131;7%;1131,25;7,39%;
1001694623;Hundested Varmeværk A.m.b.a.;3390;1475;25594;32160;13415;72%;10293,75;47,08%;
1003439395;Hundslund-Oldrup Kraftvarmeværk;8350;563;14563;19506;303;2%;981,25;5,30%;
1001845141;Hurup Fjernvarme;7760;488;11980;14684;3789;35%;4126,13;39,08%;
1001179217;Hvalpsund Kraftvarmeværk A.m.b.a.;9640;488;14813;16324;1131;7%;0;0,00%;
1001847430;Hvalsø Kraftvarmeværk A.m.b.a.;4330;998;16858;20882;5815;39%;4751,25;29,45%;
1001573152;Hvidbjerg Fjernvarme Amba;7790;550;10125;12655;453;4%;452,5;3,71%;
1002309201;Hvide Sande Fjernvarme;6960;163;3781;5241;-7037;-57%;-4661,25;-47,07%;
1002964005;Hvidebæk Fjernvarmeforsyning;4490;595;12113;16295;883;6%;1532,84;10,38%;
1003755808;Hyllinge-Menstrup Kraftvarmeværkera M B A;4700;1406;29378;39813;20376;105%;8244,75;26,12%;
1002933753;Høje Taastrup Fjernvarme A.m.b.a;2630;569;11918;15480;386;3%;1147,24;8,00%;
1001505761;Højslev - Nr Søby Fjernvarmeværk;7840;573;11095;14388;1019;8%;905,5;6,72%;
1001640777;Høng Varmeværk;4270;653;12569;16002;334;2%;560,25;3,63%;
1000200879;Hørby Varmeværk;9300;600;14141;17754;2376;15%;905;5,37%;
1010102020;I/S Norfors - Fredensborg Fjernvarme;2970;994;18069;22937;0;0%;0;0,00%;
2223334441;I/S Norfors - Nivå Fjernvarme;2970;744;13420;17386;-1269;-7%;-1269,38;-6,80%;
1003861117;I/S Norfors - Norfors Fjernvarme;2970;744;15298;19906;252;1%;0;0,00%;
1003387416;I/S Vestforbrænding Glostrup;2600;372;10087;12172;1117;10%;150,53;1,25%;
1001514308;Ingstrup Fjernvarme Andelsselskab;9480;688;19529;21660;2621;14%;791,88;3,79%;
1003272783;Ishøj Varmeværk***;2635;323;-;13595;-121;-1%;671;5,19%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1001270473;Jelling Varmeværk;7300;575;11175;14245;1397;11%;2990;26,57%;
1001016250;Jerslev Varmeværk;9740;781;14829;18109;2195;14%;4185,63;30,06%;
1001201570;Jetsmark Energiværk Amba;9490;688;13344;17331;3959;30%;0;0,00%;
1001441676;Jægerspris Kraftvarme A.m.b.a;3630;1475;27125;31698;18600;142%;12670;66,59%;
1014794766;Kalundborg Varmeforsyning A/S;4400;770;15122;19881;3494;21%;3982;25,05%;
1001173049;Karup Varmeværk;7470;638;25313;32703;20721;173%;19971,25;156,87%;
1015829881;Kerteminde Forsyning - Varme A/S;5300;500;11968;15144;1405;10%;2370;18,55%;
1008593805;Kibæk Varmeværk;6933;338;9206;12531;-226;-2%;0;0,00%;
1002110216;Kjellerup Fjernvarme Amba;8620;535;11713;13371;699;6%;1199,13;9,85%;
1001557755;Klejtrup Varmeværk;9500;750;14969;18463;5150;39%;3393,75;22,52%;
1017212040;Kolind Fjernvarmeværk A.m.b.a;8560;605;13544;17688;1561;10%;669,7;3,94%;
1001961555;Kongerslev Fjernvarme AMBA;9293;588;11656;14746;-1584;-10%;0;0,00%;
1025109704;Kredsløb Fjernvarme A/S;8220;493;9694;12252;-390;-3%;0,5;0,00%;
1001567347;Kværndrup Fjernvarme*;5772;575;11438;14733;771;6%;791,88;5,68%;* For varmeværker, der af forskellige årsager mangler prisanmeldelse for januar 2023, er prisanmeldelsen for den senest indberettede periode anvendt. 
1020097708;Køge Fjernvarme;2620;655;13210;16755;-;-;-;-;
1001672967;Langå Varmeværk;8870;848;16797;21584;6122;40%;6687,43;44,89%;
1001032862;Laurbjerg Kraftvarmeværk Amba;8870;1500;26875;34275;19159;127%;14820;76,18%;
1000974476;Lem Varmeværk;6940;763;13400;16143;4751;42%;3620;28,91%;
1001749941;Lemvig Varmeværk A M B A;7620;300;8125;10430;1579;18%;0;0,00%;
1001231422;Lendum Kraftvarmeværk A.m.b.a.;9870;1000;21250;24350;3168;15%;5430;28,70%;
1001191665;Lohals Varmeforsyning A.m.b.a.;5953;563;12088;15204;-1129;-7%;1010;7,12%;
1014453659;Lolland Varme A/S;4900;417;8903;12136;83;1%;0;0,00%;
1001820693;Lystrup Fjernvarme A M B A;8520;631;12188;15244;1294;9%;1633,13;12,00%;
1016186046;Læsø Varme A/S;9940;480;10794;13382;-2337;-15%;-362;-2,63%;
1001504819;Løgstrup Varmeværk A M B A;8831;1063;20625;25981;11581;80%;12612,5;94,34%;
1001510235;Løgstør Fjernvarmeværk Amba;9670;698;13863;17606;1440;9%;2715;18,23%;
1001552091;Løgten-Skødstrup Fjernvarmeværk A M B A;8541;619;10811;13255;265;2%;-2110,63;-13,74%;
1002227340;Løgumkloster Fjernvarme;6240;938;16625;20906;5883;39%;6335;43,48%;
1000441441;Løjt Kirkeby Fjernvarmeselskab Amba;6200;659;12725;15386;-204;-1%;1561,13;11,29%;
1002195238;Løkken Varmeværk;9480;388;9806;12039;939;8%;1051,88;9,57%;
1004118408;Løkkensvejens Kraftvarmeværk Amba*;9480;810;19650;22161;-724;-3%;0;0,00%;* For varmeværker, der af forskellige årsager mangler prisanmeldelse for januar 2023, er prisanmeldelsen for den senest indberettede periode anvendt. 
1004046966;Lønstrup Varmeforsyning Amba;9800;760;17319;19674;2921;17%;935,79;4,99%;
1003717218;Lørslev Fjernvarmeforsyning Amba;9800;750;16500;21850;2263;12%;3393,75;18,39%;
1001811993;Løsning Fjernvarme A M B A;8723;844;14813;18734;3153;20%;4043,75;27,53%;
1112223334;Maglevad;3660;490;10944;14732;1332;10%;1030,5;7,52%;
1001745715;Malling Varmeværk Amba;8340;606;11531;14786;1018;7%;-226,25;-1,51%;
1001349371;Manna-Thise Kraftvarmeværk;9700;1020;22300;25462;2353;10%;3620;16,57%;
1002070939;Mariager Fjernvarme A M B A;9550;191;6708;8321;-943;-10%;-0,69;-0,01%;
1000187343;Maribo Varmeværk Amba;4930;556;14370;18041;7404;70%;7404,48;69,61%;
1001672864;Marstal Fjernvarme A M B A;5960;900;18465;21730;2250;12%;5870;37,01%;
1021057238;Mejlby Fjernvarme Amba;8981;783;20586;23012;6193;37%;5740,75;33,24%;
1001066162;Mellerup Fjernvarme Amba***;8930;750;-;20825;1901;10%;1900,5;10,04%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1011470390;Middelfart Fjernvarme A.m.b.a.;5500;725;12875;16223;4525;39%;4298,75;36,05%;
1001800657;Midtlangeland Fjernvarme;5900;630;12669;15641;1991;15%;1991;14,59%;
1014977178;Morsø Varme A/S;7900;1625;26344;32825;19231;141%;7081,63;27,51%;
1009984468;Mosede Fjernvarmeværk A.m.b.a.;2670;824;13278;16452;378;2%;469,83;2,94%;
4444433333;Mou Kraftvarme AMBA;9280;405;8184;10299;-963;-9%;-1125;-9,85%;
1001700995;Møldrup Varmeværk;9632;1225;21038;25963;13350;106%;13350;105,85%;
1001735576;Mørke Fjernvarmeselskab Amba;8544;715;13725;16767;1808;12%;1339;8,68%;
1001557974;Mørkøv Varmeværk Amba;4440;498;11856;16247;174;1%;472,45;2,99%;
1002279450;Nibe Varmeværk A.m.b.a.;9240;1000;17891;22194;9050;69%;1131,25;5,37%;
1013275528;Nimtofte - Noff Takstområde 1;8550;624;15575;20465;-5428;-21%;411,25;2,05%;
1111122222;Nimtofte - Noff Takstområde 2;8550;624;15575;20465;-5428;-21%;411,25;2,05%;
2222211111;Nimtofte - Noff Takstområde 3;8550;624;15294;19977;-4128;-17%;573,75;2,96%;
1020529128;Nordals Fjernvarme A/S;6400;888;18108;22646;4381;24%;7901,1;53,58%;
1001187876;Nordby Fjernvarme A M B A;6720;1071;20315;23635;4817;26%;4248,06;21,91%;
1002107538;Nr Alslev Fjernvarmeværk A M B A;4840;388;10875;13864;-2243;-14%;902,5;6,96%;
1012866492;Nyborg Forsyning Varme A/S;5800;660;11725;14651;2195;18%;1833;14,30%;
1002063337;Nykøbing M Fjernvarmeværk A M B A;7900;1200;20563;25795;13956;118%;10407,5;67,64%;
1001888952;Nykøbing Sj Varmeværk;4500;900;16781;21221;6180;41%;4977,5;30,64%;
1010517636;Nysted Varmeværk A.m.b.a;4880;418;7551;8846;-5110;-37%;-3201,38;-26,57%;
1003173770;Næstved Fjernvarme A.m.b.a.;4700;649;12323;15833;3192;25%;1453,94;10,11%;
1000217829;Nørre Nebel Fjernvarme;6830;425;12813;16178;3236;25%;4414,38;37,53%;
1001626454;Nørre Snede Varmeværk;8766;575;13250;15033;2263;18%;905;6,41%;
1003157066;Odder Varmeværk A M B A;8300;602;11966;15069;2210;17%;712,69;4,96%;
1021587520;OK Fjernvarme ApS*;3790;828;17444;21590;950;5%;0;0,00%;* For varmeværker, der af forskellige årsager mangler prisanmeldelse for januar 2023, er prisanmeldelsen for den senest indberettede periode anvendt. 
1008780737;Onsbjerg Varmeværk;8305;790;15001;17451;-1;0%;-790,5;-4,33%;
1001327150;Oue Kraftvarmeværk A.m.b.a.;9500;963;21688;25971;8009;45%;6561,25;33,80%;
