PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2016;ProcentvisPrisaendring_SidenDecember2016;NominelPrisaendring_SidenJanuar2019;ProcentvisPrisaendring_SidenJanuar2019;Bemærkninger
1001011752;Hejnsvig Varmeværk A.m.b.a.;7250;375;9500;11488;3423.0;42,40%;358.0;3,20%;
1001830583;Helsinge Fjernvarme;3200;525;10656;13865;-1619.0;-10,50%;0.0;0,00%;
1015712852;Helsingør, Forsyning Helsingør Varme  ;3000;476;12150;15570;-1206.0;-7,20%;-194.0;-1,20%;
1004482427;Hemmet Varmeværk  A.m.b.a. ;6893;563;12594;15919;-2810.0;-15,00%;0.0;0,00%;
1014558531;Hillerød Varme  A/S - Skævinge ;3400;450;13004;16240;3416.0;26,60%;0.0;0,00%;
3000000001;Hillerød Varme A/S;3400;450;10494;11889;3416.0;40,30%;0.0;0,00%;
3000000002;Hillerød Varme A/S - Gørløse;3400;450;14005;15400;4548.0;41,90%;0.0;0,00%;
3000000003;Hillerød Varme A/S - Meløse-St.Lyngby;3400;450;14814;16209;3416.0;26,70%;0.0;0,00%;
1002895495;Hinnerup Fjernvarme;8382;408;8066;10532;538.0;5,40%;0.0;0,00%;
1001864776;Hirtshals Fjernvarme A.m.ba.;9850;463;10453;13605;1584.0;13,20%;0.0;0,00%;
1001723737;Hjallerup Fjernvarme A.m.b.a.;9320;713;13000;16446;2063.0;14,30%;-200.0;-1,20%;
1000379188;Hjordkær Fjernvarmeværk;6230;416;9679;11794;-1765.0;-13,00%;-634.0;-5,10%;
1003156575;Hjørring Varmeforsyning;9800;400;8428;10109;888.0;9,60%;253.0;2,60%;
1001810468;Hobro Varmeværk;9500;488;8898;11268;-164.0;-1,40%;-435.0;-3,70%;
1004416316;HOFOR Fjernvarme P/S;2300;662;12120;14970;-6.0;0,00%;-305.0;-2,00%;
1002146371;Holeby Fjernvarme A.m.b.a;4960;444;10388;13531;-1221.0;-8,30%;1691.0;14,30%;
1001789264;Holme Lundshøj Fjernvame A.m.b.a. ;8270;651;11081;13925;792.0;6,00%;-634.0;-4,40%;
1001747524;Holsted Varmeværk;6670;688;13406;16706;3394.0;25,50%;-1131.0;-6,30%;
1002996529;Holte Fjernvarme a.m.b.a.;2840;431;9750;13493;-4238.0;-23,90%;-860.0;-6,00%;
1002186009;Hornbæk Fjernvarme A.m.b.a. ;3100;645;12616;16382;-390.0;-2,30%;0.0;0,00%;
1001839701;Hornslet Fjernvarmeselskab Amba;8543;663;12039;14299;679.0;5,00%;226.0;1,60%;
1001550427;Hovedgård Fjernvarmeværk amba;8732;525;11663;15315;-1023.0;-6,30%;-281.0;-1,80%;
1001694623;Hundested Varmeværk A.m.b.a.;3390;746;14506;18745;-325.0;-1,70%;-325.0;-1,70%;
1003439395;Hundslund-Oldrup Kraftvarmeværk;8350;538;14338;19204;-1720.0;-8,20%;-363.0;-1,90%;
1001845141;Hurup Fjernvarme;7760;450;8825;10895;674.0;6,60%;0.0;0,00%;
1001179217;Hvalpsund Kraftvarmeværk A.m.b.a.;9640;425;13875;15193;905.0;6,30%;905.0;6,30%;
1001847430;Hvalsø Kraftvarmeværk a.m.b.a.;4330;676;12039;15068;3394.0;29,10%;0.0;0,00%;
1001573152;Hvidbjerg Fjernvarme A.m.b.a.;7790;525;9750;12203;0.0;0,00%;0.0;0,00%;
1002309201;Hvide Sande Fjernvarme;6960;406;9381;12278;0.0;0,00%;-1697.0;-12,10%;
1002964005;Hvidebæk Fjernvarmeforsyning A.m.b.a.;4490;510;11217;15412;-1723.0;-10,10%;0.0;0,00%;
1003755808;Hyllinge-Menstrup Kraftvarme Amba;4700;625;14063;19438;-4433.0;-18,60%;0.0;0,00%;
1002933753;Høje Taastrup Fjernvarme A.m.b.a ***;2630;585;11725;15093;973.0;6,90%;860.0;6,00%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1001505761;Højslev - Nr. Søby Fjernvarmeværk a.m.b.a.;7840;516;10251;13369;-229.0;-1,70%;676.0;5,30%;
1001640777;Høng Varmeværk;4270;638;12281;15668;1562.0;11,10%;780.0;5,20%;
1000200879;Hørby Varmeværk;9300;469;12173;15378;679.0;4,60%;1018.0;7,10%;
1007323960;Ikast Værkerne Varme A/S;7430;463;9094;11559;3281.0;39,60%;-453.0;-3,80%;
1001514308;Ingstrup Fjernvarme;9480;644;17044;19039;2346.0;14,10%;763.0;4,20%;
1003272783;Ishøj Varmeværk;2635;340;10925;11979;-101.0;-0,80%;-1446.0;-10,80%;
1001270473;Jelling Varmeværk;7300;456;10034;12848;3537.0;38,00%;0.0;0,00%;
1001016250;Jerslev Kraftvarmeværk;9740;660;13010;15915;2896.0;22,20%;1991.0;14,30%;
1001201570;Jetsmark Energiværk A.m.b.a.;9490;469;10063;13372;891.0;7,10%;0.0;0,00%;
1001441676;Jægerspris Kraftvarme A.m.b.a.;3630;475;11625;13098;3965.0;43,40%;0.0;0,00%;
1014794766;Kalundborg Varmeforsyning A/S;4400;540;12031;16387;-1039.0;-6,00%;-1039.0;-6,00%;
1001173049;Karup Varmeværk**;7470;438;8906;11981;1095.0;10,10%;1513.0;14,40%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1015829881;Kerteminde Varmeforsyning;5300;561;10790;13738;-2993.0;-17,90%;-724.0;-5,00%;
1008593805;Kibæk Varmeværk;6933;350;9394;12757;-1741.0;-12,00%;-1062.0;-7,70%;
1002110216;Kjellerup Fjernvarme Amba;8620;469;11219;12672;2569.0;25,40%;0.0;0,00%;
1001557755;Klejtrup Varmeværk;9500;500;10594;13313;-1697.0;-11,30%;1697.0;14,60%;
1017212040;Kolind Fjernvarmeværk;8560;519;12250;16127;125.0;0,80%;5833.0;56,70%;
1001961555;Kongerslev Fjernvarme;9293;675;12969;16330;2715.0;19,90%;2263.0;16,10%;
1001567347;Kværndrup Fjernvarme Amba;5772;488;10594;13961;-1129.0;-7,50%;0.0;0,00%;
1001672967;Langå Varmeværk;8870;563;11738;15463;539.0;3,60%;-566.0;-3,50%;
1001032862;Laurbjerg Kraftvarmeværk A.m.b.a.;8870;531;11406;15116;3238.0;27,30%;1378.0;10,00%;
1000974476;Lem Varmeværk ;6940;500;9463;11391;2828.0;33,00%;0.0;0,00%;
1001749941;Lemvig Varmeværk **;7620;263;6938;8851;-13.0;-0,10%;1472.0;19,90%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001231422;Lendum Kraftvarmeværk A.m.b.a.;9870;825;18625;21183;4870.0;29,90%;1703.0;8,70%;
1001191665;Lohals Varmeforsyning A.m.b.a.;5953;555;12856;16333;-818.0;-4,80%;-963.0;-5,60%;
1014453659;Lolland Varme A/S **;4900;395;8915;12053;-1181.0;-8,90%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001820693;Lystrup Fjernvarme Amba;8520;569;11156;13951;1244.0;9,80%;566.0;4,20%;
1016186046;Læsø Varme A/S;9940;625;12750;15719;-3830.0;-19,60%;-1341.0;-7,90%;
1001504819;Løgstrup Varmeværk Amba;8831;525;11494;14400;1810.0;14,40%;905.0;6,70%;
1001510235;Løgstør Fjernvarmeværk;9670;600;12588;16166;7177.0;79,80%;0.0;0,00%;
1001552091;Løgten-Skødstrup Fjernvarmeværk A.m.b.a.;8541;588;10528;12990;0.0;0,00%;0.0;0,00%;
1002227340;Løgumkloster Fjernvarme;6240;613;11750;15024;939.0;6,70%;-453.0;-2,90%;
1000441441;Løjt Kirkeby Fjernvarmeselskab Amba;6200;670;12894;15590;1938.0;14,20%;0.0;0,00%;
1002195238;Løkken Varmeværk ;9480;350;9084;11100;-453.0;-3,90%;-113.0;-1,00%;
1004118408;Løkkensvejens Kraftvarmeværk Amba;9480;850;20250;22885;7285.0;46,70%;4120.0;22,00%;
1004046966;Lønstrup Varmeforsyning A.m.b.a. ;9800;656;14719;16753;-3869.0;-18,80%;0.0;0,00%;
1003717218;Lørslev Fjernvarmeforsyning Amba;9800;625;14625;19588;-3846.0;-16,40%;-3846.0;-16,40%;
1001811993;Løsning Fjernvarme A.m.b.a.;8723;688;12281;15581;-1697.0;-9,80%;-566.0;-3,50%;
1001745715;Malling Varmeværk A.m.b.a.;8340;550;10688;13768;-566.0;-3,90%;-226.0;-1,60%;
1001349371;Manna-Thise Kraftvarmeværk;9700;890;20350;23109;6611.0;40,10%;3758.0;19,40%;
1002070939;Mariager Fjernvarmeværk Amba;9550;216;7440;9264;273.0;3,00%;1328.0;16,70%;
1000187343;Maribo Varmeværk Amba**;4930;346;8350;10637;0.0;0,00%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001672864;Marstal Fjernvarme Amba;5960;800;16250;19480;538.0;2,80%;2110.0;12,10%;
1021057238;Mejlby Fjernvarmeværk AMBA;8981;575;15036;16819;-955.0;-5,40%;-1131.0;-6,30%;
1001066162;Mellerup Kraftvarme Amba ***;8930;645;0;18925;4887.0;34,80%;2625.0;16,10%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1011470390;Middelfart Fjernvarme**;5500;475;9125;11698;-245.0;-2,10%;168.0;1,50%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001800657;Midtlangeland Fjernvarme;5900;520;11019;13650;-543.0;-3,80%;0.0;0,00%;
1014977178;Morsø Varme - Dueholm Varmecentral;7900;563;10406;13594;0.0;0,00%;0.0;0,00%;
1009984468;Mosede Fjernvarmeværk a.m.b.a.;2670;818;13046;16074;-2387.0;-12,90%;648.0;4,20%;
4444433333;Mou Kraftvarme Amba;9280;343;10200;11262;-4685.0;-29,40%;-560.0;-4,70%;
1001700995;Møldrup Varmeværk;9632;500;10031;12613;3301.0;35,50%;2849.0;29,20%;
1001852238;Mølholm Varmeværk (Andelsselskabet) ;7100;550;10375;13180;-453.0;-3,30%;0.0;0,00%;
1001735576;Mørke Fjernvarmeselskab Amba;8544;650;12359;14959;905.0;6,40%;0.0;0,00%;
1001557974;Mørkøv Varmeværk Amba;4440;496;11703;16073;1789.0;12,50%;354.0;2,30%;
1002279450;Nibe Varmeværk a.m.b.a.;9240;500;10391;13144;1697.0;14,80%;679.0;5,40%;
2222211111;Nimtofte - NOFF - Takstområde 1;8550;681;18969;25893;140.0;0,50%;234.0;0,90%;
2222211111;Nimtofte - NOFF - Takstområde 2;8550;681;18969;25893;2415.0;10,30%;1046.0;4,20%;
2222211111;Nimtofte - NOFF - Takstområde 3;8550;681;17938;24106;-348.0;-1,40%;-579.0;-2,30%;
1001187876;Nordby Varmeværk Amba;6720;833;16238;18818;-1953.0;-9,40%;315.0;1,70%;
1003861117;NORFORS Fjernvarme;2970;745;15041;19653;11.0;0,10%;-419.0;-2,10%;
1008165927;NRGi Lokalvarme A/S;8200;831;15242;19280;621.0;3,30%;847.0;4,60%;
1012866492;Nyborg Forsyning Varme A/S;5800;560;9950;12456;-362.0;-2,80%;0.0;0,00%;
1001888952;Nykøbing Mors Fjernvarmeværk Amba;7900;440;9100;11839;-767.0;-6,10%;-1991.0;-14,40%;
1001888952;Nykøbing Sj. Varmeværk;4500;561;11672;15041;2721.0;22,10%;114.0;0,80%;
1010517636;Nysted Varmeværk A.m.b.a.;4880;344;10070;13956;-688.0;-4,70%;-205.0;-1,40%;
1003173770;Næstved Fjernvarme;4700;488;9700;12641;-18.0;-0,10%;-1109.0;-8,10%;
1001626454;Nørre Alslev Fjernvarmeværk;4840;438;12344;16106;-227.0;-1,40%;-227.0;-1,40%;
1000217829;Nørre Nebel Fjernvarme;6830;425;10250;12943;-2149.0;-14,20%;0.0;0,00%;
1001626454;Nørre Snede Varmeværk, Værk I;8766;450;11375;12770;3295.0;34,80%;-339.0;-2,60%;
1003157066;Odder Varmeværk A.m.b.A.;8300;475;10063;12773;453.0;3,70%;226.0;1,80%;
1017380741;Odsherred Varme A/S;4571;800;15075;19095;-1040.0;-5,20%;-1266.0;-6,20%;
1000445617;Oksbøl Varmeværk;6840;438;9887;12807;1131.0;9,70%;-1697.0;-11,70%;
1008780737;Onsbjerg Varmeværk;8305;790;15003;17452;-1262.0;-6,70%;0.0;0,00%;
1001327150;Oue Kraftvarmeværk**;9500;520;16350;17962;5675.0;46,20%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000217945;Outrup Varmeværk;6855;500;11625;14550;1108.0;8,20%;0.0;0,00%;
1001562667;Overlund Fjernvarmeværk A.m.b.a.;8800;650;12350;15905;2263.0;16,60%;905.0;6,00%;
1001550440;Padborg Fjernvarme A.m.b.a.;6330;513;9950;12914;502.0;4,00%;502.0;4,00%;
1001424901;Præstbro Kraftvarmeværk A.m.b.a.;9330;700;16750;18920;-113.0;-0,60%;3620.0;23,70%;
1002247727;Præstø Fjernvarme A.m.b.a.;4720;684;13138;16861;-717.0;-4,10%;-2284.0;-11,90%;
1001210129;Ramsing-Lem-Lihme Kraftvarmeværk;7860;619;15844;18949;3019.0;18,90%;1188.0;6,70%;
1002992225;Rask Mølle Varmeværk;8763;613;12281;15761;0.0;0,00%;0.0;0,00%;
1020390588;REFA Gedser Fjernvarme A/S;4874;586;13286;17213;0.0;0,00%;0.0;0,00%;
1000077067;REFA Horbelev Fjernvarme A/S;4871;543;14116;18962;-88.0;-0,50%;0.0;0,00%;
1017369365;REFA Kettinge Forsyning ApS;4892;727;14366;18746;0.0;0,00%;0.0;0,00%;
1015609768;REFA, Stubbekøbing Fjernvarme A/S;4800;417;11044;14934;-1577.0;-9,60%;0.0;0,00%;
1003843766;Rejsby Kraftvarme;6780;550;13563;16955;-4144.0;-19,60%;0.0;0,00%;
1002058838;Ribe Fjernvarme Amba;6760;438;10250;12263;0.0;0,00%;-566.0;-4,40%;
1011319390;Ringe Fjernvarmeselskab;5750;531;9467;11846;1896.0;19,10%;0.0;0,00%;
1003054009;Ringkøbing Fjernvarmeværk A.m.b.a. ;6950;400;8631;11474;6529.0;132,00%;-453.0;-3,80%;
1017780383;RINGSTED FJERNVARME A/S;4100;458;9152;11765;83.0;0,70%;0.0;0,00%;
1007719341;Rise Fjernvarme Amba;5970;890;20725;23484;0.0;0,00%;0.0;0,00%;
1015965963;Roskilde Varme A/S;4000;531;10804;14072;2472.0;21,30%;688.0;5,10%;
1001806990;Roslev Fjernvarmeselskab Amba;7870;438;10719;13381;-1419.0;-9,60%;-566.0;-4,10%;
1001391111;Rostrup Kraftvarmeværk A.m.b.a. ;9550;563;16563;18306;3513.0;23,70%;1256.0;7,40%;
1001930294;Rundhøj Fjernvarme  A.m.b.a. ;8270;513;9588;12526;1448.0;13,10%;-407.0;-3,10%;
1001553645;Ry Varmeværk Am.b.a. ;8680;326;7956;10480;-1706.0;-14,00%;0.0;0,00%;
1003568649;Rye Kraftvarmeværk A.m.b.a.;8680;406;13438;17791;2946.0;19,80%;-1625.0;-8,40%;
1002070617;Ryomgaard Fjernvarmeværk;8550;645;13300;16300;-838.0;-4,90%;-838.0;-4,90%;
1001082841;Ræhr Fjernvarme Amba;7730;488;11375;13574;881.0;6,90%;3209.0;31,00%;
1001573462;Rødby Varmeværk Amba;4970;375;9219;12100;0.0;0,00%;0.0;0,00%;
1001159796;Rødbyhavn Fjernvarme Amba;4970;326;8593;10913;729.0;7,20%;142.0;1,30%;
1002243368;Rødding Varmecentral ;6630;538;10656;13766;1958.0;16,60%;1393.0;11,30%;
1001454760;Rødkærsbro Fjernvarmeværk;8840;615;13921;17398;3840.0;28,30%;394.0;2,30%;
1011930936;Rødovre kommunes Varmeforsyning;2610;469;10313;13622;-1796.0;-11,70%;0.0;0,00%;
1002824928;Rønde Fjernvarmeværk;8410;474;9888;12662;325.0;2,60%;1254.0;11,00%;
1016095709;Rønne Varme A/S;3700;477;11293;13472;-1421.0;-9,50%;0.0;0,00%;
1002997847;Sakskøbing Fjernvarmeselskab Amba;4990;540;10167;13009;283.0;2,20%;0.0;0,00%;
1001529390;Saltum Fjernvarmeværk Amba;9493;624;12794;16790;3394.0;25,30%;973.0;6,20%;
1004149664;Sandved-Tornemark Kraftvarmeværk Amba;4262;563;14109;17388;-1144.0;-6,20%;-226.0;-1,30%;
1001577420;Sdr. Felding Varmeværk;7280;375;9444;10475;0.0;0,00%;0.0;0,00%;
1001193577;Sdr. Herreds Kraftvarmeværker Amba;7960;586;16794;18611;2671.0;16,80%;3105.0;20,00%;
1001577420;Sdr. Omme Varmeværk Amba.;7260;399;10923;14777;-1214.0;-7,60%;-189.0;-1,30%;
1001503654;Sig Varmeværk;6800;688;15438;17569;1358.0;8,40%;1358.0;8,40%;
1014963991;Silkeborg Varme A/S;8600;475;9600;12118;679.0;5,90%;0.0;0,00%;
1002097944;Sindal Varmeforsyning Amba;9870;474;10106;12800;3254.0;34,10%;1217.0;10,50%;
1010782917;SK Forsyning Varme A/S;4200;463;9984;12708;0.0;0,00%;0.0;0,00%;
1018054791;Skagen Varmeværk Amba;9990;338;8288;10599;-679.0;-6,00%;0.0;0,00%;
1000210678;Skals Kraftvarmeværk Amba***;8832;550;0;14330;1358.0;10,50%;1810.0;14,50%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1001761239;Skanderborg-Hørning Fjernvarme Amba;8660;425;8500;10643;-792.0;-6,90%;0.0;0,00%;
1003169877;Skive Fjernvarme Amba;7800;545;10863;14065;815.0;6,10%;1448.0;11,50%;
1003086479;Skjern Fjernvarmecentral A.m.b.a. ;6900;425;8063;10380;-1320.0;-11,30%;-679.0;-6,10%;
1000746895;Skovlund Varmeværk;6823;650;13500;16890;3365.0;24,90%;3365.0;24,90%;
1002138988;Skovsgaard Varmeværk A.m.b.a. ;9460;500;10219;13488;-1796.0;-11,70%;-1131.0;-7,70%;
1003701860;Skuldelev Energiselskab Amba*;4050;484;10626;12596;-3122.0;-19,90%;0.0;0,00%;* For varmeværker, der af forskellige årsager mangler prisanmeldelse for januar 2020, er prisanmeldelsen for den senest indberettede periode anvendt. Forsyningstilsynet har været i kontakt med de pågældende forsyninger.
1001669670;Skærbæk Fjernvarme A.m.b.a.;6780;444;9695;12153;588.0;5,10%;0.0;0,00%;
1003458829;Skørping Varmeværk A.m.b.a.;9520;538;10938;14104;2307.0;19,60%;0.0;0,00%;
1001604427;Skårup Fjernvarme;5881;494;10969;14424;426.0;3,00%;629.0;4,60%;
1018666886;Slagslunde;3660;670;14238;18652;1374.0;8,00%;1374.0;8,00%;
1001535455;Smørum Kraftvarme;2765;542;11254;14536;0.0;0,00%;0.0;0,00%;
1001986520;Snedsted Varmeværk;7752;509;12288;16683;2692.0;19,20%;2792.0;20,10%;
1003462631;Snertinge, Særslev, Føllenslev - SSF Energiselskab ;4591;831;20154;23991;1778.0;8,00%;1778.0;8,00%;
1001556073;Solrød Fjernvarmeværk Amba;2680;550;11588;15402;-1066.0;-6,50%;6.0;0,00%;
1023151355;Sorø Fjernvarme A/S;4520;799;12735;15765;6439.0;69,00%;4847.0;44,40%;
1001754646;Spjald Fjernvarme- og Vandværk;6971;575;10563;13033;1358.0;11,60%;2489.0;23,60%;
1016112662;St. Merløse Varme A/S;4300;715;13954;18078;1246.0;7,40%;0.0;0,00%;
1002046635;Stege Fjernvarme Amba;4780;463;10400;14028;-807.0;-5,40%;-807.0;-5,40%;
1002186897;Stenstrup Fjernvarme Amba;5771;545;10938;13645;1810.0;15,30%;1810.0;15,30%;
1002279681;Stoholm Fjernvarmeværk  Amba;7850;438;9844;12231;0.0;0,00%;0.0;0,00%;
1001828049;Strandby Varmeværk A.m.b.A.;9970;500;10406;13538;-576.0;-4,10%;-2263.0;-14,30%;
1008632274;Struer Forsyning Fjernvarme A/S;7600;438;8181;10101;272.0;2,80%;407.0;4,20%;
1001070704;Støvring Kraftvarmeværk Amba;9530;388;8500;11158;679.0;6,50%;-453.0;-3,90%;
1001815057;Sunds Vand og Varmeværk;7451;463;9156;11621;-2364.0;-16,90%;-389.0;-3,20%;
1000921589;Svebølle-Viskinge Fjernvarmeselskab Amba;4470;763;19391;21755;-1290.0;-5,60%;-588.0;-2,60%;
1003007911;Svendborg Fjernvarme Amba;5700;565;10019;12719;6969.0;121,20%;-634.0;-4,70%;
1001944117;Svogerslev Fjernvarmecentral;4000;613;11705;14736;1596.0;12,10%;-1783.0;-10,80%;
1001272907;Sydfalster Varmeværk Amba;4873;451;10964;14133;730.0;5,40%;139.0;1,00%;
1001211691;Sydlangeland Fjernvarme A.m.b.a.;5932;555;11075;13896;634.0;4,80%;0.0;0,00%;
1002189756;Sæby Varmeværk Amba;9300;463;9313;11571;1584.0;15,90%;0.0;0,00%;
1004197093;Søndbjerg Fjernvarme Amba;7790;438;11438;15719;-5025.0;-24,20%;-3894.0;-19,90%;
1012754848;Sønderborg Varme A/S **;6400;419;8840;11512;47.0;0,40%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000898485;Sønderholm Varmeværk Amba;9240;606;14344;17598;2489.0;16,50%;2114.0;13,70%;
1001802909;Tarm Varmeværk Amba **;6880;435;10030;11379;10.0;0,10%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000949978;Terndrup Fjernvarme A.m.ba.;9575;563;12000;15669;0.0;0,00%;0.0;0,00%;
1003030685;Thisted Varmeforsyning Amba**;7700;400;7938;10140;453.0;4,70%;-453.0;-4,30%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000409687;Thorsager Fjernvarmeværk Amba;8410;563;12844;16306;866.0;5,60%;0.0;0,00%;
1003830555;Thorshøj Kraftvarmeværk Amba;9750;875;19163;22783;11271.0;97,90%;3656.0;19,10%;
1001235842;Thorsminde Fjernvarme A.m.b.a.;6990;500;11719;15263;1485.0;10,80%;969.0;6,80%;
1001552789;Thorsø Fjernvarmeværk Amba;8881;257;7852;9164;-767.0;-7,70%;-1353.0;-12,90%;
1001178258;Thyborøn Fjernvarme A.m.b.a.;7680;490;11350;15244;1915.0;14,40%;965.0;6,80%;
1000758600;Tim Kraftvarmeværk Amba;6980;625;12313;15488;9038.0;140,10%;-1131.0;-6,80%;
1000146519;Tistrup Varmeværk;6862;619;13406;16699;7014.0;72,40%;5543.0;49,70%;
1002175112;Toftlund Fjernvarme Amba;6520;656;12344;15753;7676.0;95,00%;-2263.0;-12,60%;
1001473623;Tommerup Bys Fjernvarmeforsyning A.m.b.a.;5690;492;10691;13305;-1395.0;-9,50%;651.0;5,10%;
1002487500;Tommerup St. Varmeforsyning A.m.b.a.;5690;625;12000;15863;2263.0;16,60%;2036.0;14,70%;
1001698824;Tranbjerg Varmeværk Amba;8310;644;11406;13952;1436.0;11,50%;521.0;3,90%;
