PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2016;ProcentvisPrisaendring_SidenDecember2016;NominelPrisaendring_SidenJanuar2019;ProcentvisPrisaendring_SidenJanuar2019;Bemærkninger
3333344444;Øster Hurup Kraftvarme;9560;563;15313;17056;4299.0;33,70%;1131.0;7,10%;
3333344444;Øster Toreby Varmeværk Amba;4800;490;10323;13341;125.0;0,90%;0.0;0,00%;
1000882329;Østerild Fjernvarmeselskab A.m.b.a. ;7700;588;14875;18446;9.0;0,00%;453.0;2,50%;
1001521893;Østervrå Varmeværk;9750;619;12656;15949;6896.0;76,20%;4181.0;35,50%;
1001742157;Aabenraa - Rødekro Fjernvarme;6200;390;7538;9434;-634.0;-6,30%;-362.0;-3,70%;
1001358265;Aabybro Fjernvarmeværk;9440;450;9531;11958;328.0;2,80%;0.0;0,00%;
1022007439;Aalborg Bygas A/S;9000;705;12294;14479;487.0;3,50%;0.0;0,00%;
1020945857;Aalborg Varme A/S**;9000;461;9666;12195;0.0;0,00%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000738509;Aalestrup-Nørager Energi A.m.b.a.**;9620;394;8053;10408;-453.0;-4,20%;-339.0;-3,20%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1025109704;Aarhus, AffaldVarme Aarhus (distribution) ;8210;565;10203;12642;1222.0;10,70%;-219.0;-1,70%;
1002486097;Aars Fjernvarmeforsyning Amba;9600;369;7625;9524;-626.0;-6,20%;679.0;7,70%;
