PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1025109704;AffaldVarme Aarhus Fjernvarme A/S;8220;650;11490;14220;2113;17%;1578,5;12,49%;
1001516452;Agersted Varmeværk;9330;558;10863;13966;3620;35%;-3936,75;-21,99%;
1003267160;Albertslund Varmeværk;2620;762;12323;15175;38;0%;-457,19;-2,92%;
1001414567;Allingåbro Varmeværk A M B A;8961;475;11125;14285;1054;8%;375;2,70%;
1000214727;Als Fjernvarme a.m.b.a.;9560;425;9350;11755;0;0%;0;0,00%;
1001852238;ANDELSSELSKABET MØLHOLM VARMEVÆRK;7100;550;10375;13180;339;3%;0;0,00%;
1000445617;ANDELSSELSKABET OKSBØL VARMEVÆRK;6840;463;10262;13260;1018;8%;452,5;3,53%;
1002907871;ANS FJERNVARMEVÆRK A M B A;8643;600;11228;14281;1018;8%;-2941,25;-17,08%;
1002158896;ANSAGER VARMEVÆRK;6823;375;11700;16788;972;6%;-452,5;-2,62%;
1002330178;Arden Varmeværk;9510;450;9250;12020;1116;10%;-452,5;-3,63%;
1024700972;Assens Fjernvarme (Fyn) Distribution A/S;5610;451;8271;10758;987;10%;409,09;3,95%;
1001620419;Assens Fjernvarme Amba - Jylland;9550;463;11406;14809;-679;-4%;0;0,00%;
1001352177;ASTRUP KRAFTVARMEVÆRK A.M.B.A.;9510;520;15144;16756;6621;65%;0;0,00%;
1002016230;Asaa Fjernvarme;9340;423;9494;12385;1944;19%;-1574,63;-11,28%;
1002096146;Augustenborg Fjernvarme;6440;438;9938;12669;-241;-2%;-1696,88;-11,81%;
1001775537;AULUM FJERNVARME AMBA;7490;400;9713;13565;3690;37%;-1131,25;-7,70%;
1001583674;Auning Varmeværk A M B A**;8963;500;13281;16413;3305;25%;2672,5;19,45%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2017 og evt. januar 2020 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000707406;Avedøre Fjernvarme AMBA;2650;356;11724;13972;1119;9%;378,8;2,79%;
1010705653;Ballen/Brundby Varmeværk;8305;713;15963;18171;-1330;-7%;0;0,00%;
1001609247;Balling-Rødding Varmeværk A.m.b.a.**;7860;578;10913;14078;80;1%;-35,75;-0,25%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2017 og evt. januar 2020 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001507375;Bedsted Fjernvarme;7755;600;13234;15541;1393;10%;-452,5;-2,83%;
1001753730;Billund Varmeværk A.m.b.a.;7190;515;9350;11772;-91;-1%;-181;-1,51%;
1001785816;BINDSLEV FJERNVARME A M B A;9881;413;9703;12700;3054;32%;-2398,25;-15,88%;
1001207403;BLENSTRUP KRAFTVARMEVÆRK A.M.B.A.;9520;606;16044;17923;2018;13%;1030,63;6,10%;
1003733569;Blåhøj Energiselskab Amba;7330;438;8281;9981;-259;-3%;1131,25;12,78%;
1002196453;Bogense Forsyningsselskab;5400;338;7344;9421;-679;-7%;0;0,00%;
1011404398;Boligselskabet Viborg - Varmecentralen Houlkær***;8800;477;7902;0;;;;;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype.
1002027401;Boligselskabet Viborg - Vestervang Varmecentral***;8800;477;13440;0;;;;;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype.
1014542643;BORNHOLMS VARME A/S;3700;700;15331;19083;590;3%;0;0,00%;
1000825228;BORUP VARMEVÆRK A M B A;4140;488;9863;13024;472;4%;-47,5;-0,36%;
1003512223;BOULSTRUP-HOU KRAFTVARMEVÆRK AMBA;8300;725;15375;17623;4525;35%;0;0,00%;
1002170663;Bramming Fjernvarme A.m.b.a.;6740;388;8344;11401;2646;30%;-678,75;-5,62%;
1002075632;Brande Fjernvarme Amba;7330;388;9438;12701;2728;27%;0;0,00%;
1001553293;BREDEBRO VARMEVÆRK A M B A;6261;438;8969;11769;2036;21%;-905;-7,14%;
1001727276;Bredsten-Balle Kraftvarmeværk A.m.b.a.;7182;738;13474;17135;1358;9%;-1131,25;-6,19%;
1002097051;Broager Fjernvarmeselskab;6310;494;11281;14474;-1129;-7%;-1128,75;-7,23%;
1001759685;BROVST FJERNVARME ANDELSSELSKAB;9460;500;10625;13550;905;7%;0;0,00%;
1002194760;BRÆDSTRUP FJERNVARME A M B A;8740;281;7063;9516;2263;31%;545,63;6,08%;
1003039566;Brøndby Fjernvarme AMBA;2605;445;8779;11373;-1189;-9%;0;0,00%;
1016879652;Brønderslev Varme A/S;9700;548;10288;12920;-1268;-9%;-226,25;-1,72%;
1003817963;Brøns Kraftvarme A.m.b.a.;6780;575;14100;16483;1810;12%;0;0,00%;
1000584343;BRØRUP FJERNVARME A M B A;6650;313;7250;9731;-679;-7%;-678,75;-6,52%;
1001479025;Bækmarksbro Varmeværk A.m.b.a.;7660;588;12613;15234;-226;-1%;-452,5;-2,88%;
1002074934;BÆLUM VARMEVÆRK AMBA;9574;500;12375;13925;938;7%;-1131,25;-7,51%;
1001503587;Bøvling Varmeværk;7650;525;10925;13593;893;7%;2090;18,17%;
1002166965;Christiansfeld Fjernvarmeselskab A.m.b.A.;6070;481;10188;13398;1378;11%;-1470,63;-9,89%;
1015733949;DIN Forsyning Varme A/S;6715;550;10440;12904;-1797;-12%;-194,06;-1,48%;
1015733949;DIN Forsyning Varme A/S;6715;550;10440;12904;-1797;-12%;-194,06;-1,48%;
1000353842;Dronninglund Fjernvarme;9330;563;10594;13644;2256;20%;-2330,38;-14,59%;
1001773686;Durup Fjernvarme;7870;499;11022;14981;609;4%;-475,13;-3,07%;
1001803425;Dybvad Varmeværk Amba;9352;538;11938;14979;0;0%;452,5;3,12%;
1025580230;E.ON Produktion Danmark A/S - samtlige prod.enheder;2000;600;14581;17595;775;5%;-20,39;-0,12%;
2468246825;E.ON Varme - Distribution;2000;614;11961;15054;116;1%;-1815,2;-10,76%;
1003010765;EBELTOFT FJERNVARMEVÆRK;8400;386;8341;10535;-325;-3%;-162,5;-1,52%;
1021885025;Egebjerg Nærvarme A.M.B.A.;4500;643;13138;16779;0;0%;0;0,00%;
1112223334;Egedal Fjernvarme A/S - Forsyningsområde 2**;3660;413;9313;12516;-1660;-12%;-883,75;-6,60%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2017 og evt. januar 2020 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000827232;Egtved Varmeværk;6040;650;12531;16128;2715;20%;-339,38;-2,06%;
1003021791;Ejerf Mølleåparken v/adv Lone Refshammer***;1153;764;14339;0;;;;;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype.
