PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1001762685;Troldhede Kraftvarmeværk A.m.b.a.;6920;1.031;17.781;22.216;8.972;68%;10.521;89,96%;
1004131281;TRUSTRUP-LYNGBY VARMEVÆRK AMBA;8570;388;8.781;11.426;-664;-5%;0;0,00%;
1001318826;TVERSTED KRAFTVARMEVÆRK A M B A;9881;500;10.438;13.675;113;1%;-113;-0,82%;
1001745454;Tønder Fjernvarmeselskab A.m.b.a.;6270;550;10.844;13.993;-3.379;-19%;1.181;9,22%;
1003023952;TØRRING KRAFTVARMEVÆRK;7160;488;11.078;14.961;-2.151;-13%;1.139;8,24%;
1015752390;TÅRNBYFORSYNING Varme A/S;2770;335;10.779;12.809;-273;-2%;290;2,32%;
1002190406;Tårs Varmeværk;9830;750;14.695;19.203;-1.439;-7%;1.163;6,44%;
1000885821;Ulbjerg Kraftvarme Amba;8832;563;12.969;15.369;2.609;20%;-375;-2,38%;
1001109525;Uldum Varmeværk Amba;7171;525;10.184;12.886;-385;-3%;0;0,00%;
1000525111;Ulfborg Fjernvarmeværk A.m.b.a.;6990;488;10.594;13.961;756;6%;0;0,00%;
1001726931;ULSTED VARMEVÆRK;9370;510;11.738;15.969;0;0%;0;0,00%;
1001973692;Vallensbæk Fjernvarme NORD A M B A;2625;514;11.242;15.257;486;3%;-68;-0,44%;
1002041931;Vamdrup Fjernvarme A.m.b.A;6580;488;10.563;12.899;-1.923;-13%;0;0,00%;
1003535075;Veddum Skelund Visborg Kraftvarmeværk AMBA;9560;850;18.750;21.385;8.458;65%;6.195;40,78%;
1000830268;Vegger Varmeværk A M B A;9240;431;8.531;10.712;3.138;41%;2.388;28,68%;
1003962006;Vejby-Tisvilde Fjernvarme AMBA;3210;750;16.875;19.200;453;2%;0;0,00%;
1002060351;Vejen Varmeværk Amba;6600;470;8.800;11.082;-1.448;-12%;-543;-4,67%;
