name,address,latitude,longitude
Skanderborg-Hørning Fjernvarme,"Danmarksvej 15, 8660 Skanderborg, Denmark",56.05042,9.943567
Skårup Fjernvarme,"Traverskiftet 1, 5881 Skårup Fyn, Denmark",55.091495,10.692962
Skive Fjernvarme,"Marius Jensens Vej 3, 7800 Skive, Denmark",56.561919,9.031235
Skjern Fjernvarme,"Kongevej 41, 6900 Skjern, Denmark",55.944544,8.494215
Skørping Varmeværk,"Skørping Nord 11, 9520 Skørping, Denmark",56.858671,9.890022
Skovlund Varmeværk,"Nørremarken 20, 6823 Ansager, Denmark",55.741312,8.70286
Skovsgård Varmeværk,"Poststræde 28, 9460 Brovst, Denmark",54.9899697,12.4551424
Skuldelev Energiselskab,"Egevej 27, 4050 Skibby, Denmark",55.775786,12.017855
Slagslunde Fjernvarme,"Blomstervej 17, 3660 Stenløse, Denmark",55.798556,12.217357
Smørum Kraftvarme,"Skebjergvej 25, 2765 Smørum, Denmark",55.729495,12.306893
Snedsted Fjernvarme,"Idrætsvej 1, 7752 Snedsted, Denmark",56.89318,8.525363
Snertinge-Særslev-Føllenslev Energiselskab,"Kirkemosevej 17, 4591 Føllenslev, Denmark",55.723388,11.37496
Solrød Fjernvarme,"Lerbækvej 17, 2680 Solrød Strand, Denmark",55.540331,12.208878
Sønderborg Forsyning,"Ellegårdvej 8, 6400 Sønderborg, Denmark",54.927034,9.797459
Sønderborg Varme,"Nørrekobbel 54, 6400 Sønderborg, Denmark",54.92323,9.804853
Sønderholm Kraftvarmeværk,"Vestervej 50, 9240 Nibe, Denmark",57.005276,9.729421
Spjald Fjernvarme-og Vandværk,"Rørvej 1, 6971 Spjald, Denmark",56.12823,8.513123
Stege Fjernvarme,"Elmevej 1, 4780 Stege, Denmark",54.997756,12.155645
Stenstrup Fjernvarme,"Hostrupvej 28, 5771 Stenstrup, Denmark",55.130667,10.502042
Stoholm Fjernvarmeværk,"Industrivej 16, 7850 Stoholm Jylland, Denmark",56.47916,9.154259
Støvring Kraftvarmeværk,"Hjedsbækvej 2, 9530 Støvring, Denmark",56.887721,9.818962
Strandby Varmeværk,"Ravmarken 8, 9970 Strandby, Denmark",57.4874,10.488259
Struer Energi,"Jyllandsgade 1, 7600 Struer, Denmark",56.490679,8.601625
Sunds Forsyning,"Teglgaardsvej 7A, 7451 Sunds, Denmark",56.2042,9.0127
Svebølle-Viskinge Fjernvarmeselskab,"Frederiksberg 1D, 4470 Svebølle, Denmark",55.65318,11.290961
Svendborg Fjernvarme,"Bagergade 40A, 5700 Svendborg, Denmark",55.061775,10.606753
Svogerslev Fjernvarmecentral,"Stamvejen 11, 4000 Roskilde, Denmark",55.63194,12.019077
Sydfalster Varmeværk,"Håndværkervænget 16, 4873 Væggerløse, Denmark",54.71772,11.926582
Sydlangeland Fjernvarme,"Østerskovvej 2B, 5932 Humble, Denmark",54.796988,10.714755
Taars Varmeværk,"Damhusvej 27, 9830 Tårs, Denmark",57.38961,10.116951
Tarm Varmeværk,"Skolegade 23, 6880 Tarm, Denmark",55.905235,8.524065
Tårnby Forsyning,"Gemmas Alle 39, 2770 Kastrup, Denmark",55.627935,12.614395
Terndrup Fjernvarme,"Industriparken 30, 9575 Terndrup, Denmark",56.80511,10.061693
Test,", , Denmark",55.670249,10.3333283
Test varmeværk,"Torskekaj 1, 6700 Esbjerg, Denmark",55.475722,8.422251
Thisted Varmeforsyning,"Ringvej 26, 7700 Thisted, Denmark",56.963491,8.703588
Thorsager Fjernvarmeværk,"Nørregade 26, 8410 Rønde, Denmark",56.347366,10.46092
Thorshøj Kraftvarmeværk,"Kobbervænget 4, 9750 Øster-Vrå, Denmark",57.3417,10.2401
Thorsminde Varmeværk,"Havnevej 11, 6990 Ulfborg, Denmark",56.371194,8.128352
Thorsø Fjernvarmeværk,"Thorsølundvej 6, 8881 Thorsø, Denmark",56.297849,9.792046
Thyborøn Fjernvarme,"Ærøvej 83, 7680 Thyborøn Havn, Denmark",56.6990013,8.2145922
Tim Kraftvarmeværk,"Høbrovej 9F, 6980 Tim, Denmark",56.193476,8.313888
Tistrup Varmeværk,"Kastanievej 1, 6862 Tistrup, Denmark",55.717305,8.604234
Toftlund Fjernvarme,"Østerdalen 3, 6520 Toftlund, Denmark",55.194115,9.071286
Tommerup Bys Fjernvarmeforsyning,"Stadionvænget 6, 5690 Tommerup, Denmark",55.322957,10.20294
Tommerup St. Varmeforsyning,"Bannervej 22, 5690 Tommerup, Denmark",55.347454,10.18334
Tønder Fjernvarme,"Østergade 83, 6270 Tønder, Denmark",54.939461,8.874159
Tørring Kraftvarmeværk,"Bygade 5A, 7160 Tørring, Denmark",55.858938,9.484923
Tranbjerg Varmeværk,"Jegstrupvænget 630, 8310 Tranbjerg J, Denmark",56.090338,10.130029
Tranum Kraftvarmeværk,"Uglevej 1, 9460 Brovst, Denmark",57.132945,9.463501
TREFOR Varme,"Kokbjerg 30, 6000 Kolding, Denmark",55.535168,9.485974
Troldhede Kraftvarmeværk,"Aakjærsvej 24B, 6920 Videbæk, Denmark",55.992674,8.742304
Trustrup-Lyngby Varmeværk,"Tværvej 11, 8570 Trustrup, Denmark",56.352715,10.778948
Tversted Kraftvarmeværk,"Løgtenvej 16, 9881 Bindslev, Denmark",57.581956,10.190193
Uldum Varmeværk,"Industrisvinget 9, 7171 Uldum, Denmark",55.851921,9.588792
Ulfborg Fjernvarme,"Sportsvej 2, 6990 Ulfborg, Denmark",56.280501,8.32227
Ulsted Varmeværk,"Teglgårdsvej 10, 9370 Hals, Denmark",57.078482,10.250914
V. Hjermitslev Varmeværk,"Thomas P Hejlesvej 3V, 9700 Brønderslev, Denmark",57.2702,9.941
Værløse Varmeværk,"Klostergårdsvej 59, 3500 Værløse, Denmark",55.786677,12.372544
Værum - Ørum Kraftvarmeværk,"c/o Borgergade 6, 8870 Langå, Denmark",56.3903,9.8949
Vallensbæk Fjernvarme NORD,"Horsbred 201, 2625 Vallensbæk, Denmark",55.649775,12.357183
Vallensbæk Fjernvarme SYD,"Delta Park 11, 2665 Vallensbæk Strand, Denmark",55.627079,12.386817
Vamdrup Fjernvarme,"Nygade 4, 6580 Vamdrup, Denmark",55.355186,9.356065
Veddum Skelund Visborg Kraftvarmeværk,"Pejtervej 14, 9560 Hadsund, Denmark",56.772908,10.174197
Vejby-Tisvilde Fjernvarme,"Møngevej 9B, 3210 Vejby, Denmark",56.067987,12.148756
Vejen Varmeværk,"Gørtlervej 4, 6600 Vejen, Denmark",55.463965,9.147176
Vejlby Fjernvarme,"Tranekærvej 58, 8240 Risskov, Denmark",56.193164,10.212854
Vejle Fjernvarme,"Langelinie 60, 7100 Vejle, Denmark",55.710266,9.542296
Vemb Varmeværk,"Vestergade 17, 7570 Vemb, Denmark",56.34308,8.340738
VERDO Varme,"Agerskellet 7, 8920 Randers NV, Denmark",56.490765,10.02027
Vestervig Fjernvarme,"Vestergade 14, 7770 Vestervig, Denmark",56.763102,8.31771
Vestforbrænding,"Ejby Mosevej 219, 2600 Glostrup, Denmark",55.70648,12.422202
Vestforsyning Varme,"Nupark 51, 7500 Holstebro, Denmark",56.391895,8.611193
Viborg Varme,"Håndværkervej 6, 8800 Viborg, Denmark",56.462658,9.398628
Videbæk Energiforsyning,"Godthåbsvej 3, 6920 Videbæk, Denmark",56.492477,8.600903
Vildbjerg Tekniske Værker,"Pugdalvej, 7480 Vildbjerg, Denmark",56.1899873,8.7924201
Vinderup Varmeværk,"Sevelvej 67A, 7830 Vinderup, Denmark",56.477271,8.79285
Vivild Varmeværk,"Søndermarksvej 39, 8961 Allingåbro, Denmark",56.481987,10.445728
Voerså Kraftvarmeværk,"Kringelhedevej 17B, 9300 Sæby, Denmark",57.208929,10.482574
Vojens Fjernvarme,"Tingvejen 47, 6500 Vojens, Denmark",55.238523,9.291427
Vordingborg Fjernvarme,"Brovejen 10, 4760 Vordingborg, Denmark",54.765194,11.875184
Vorupør Kraftvarmeværk,"Toosholmvej 6, 7700 Thisted, Denmark",56.947427,8.387965
Vrå Varmeværk,"Nygade 8, 9760 Vrå, Denmark",57.354304,9.943775
