name,address,latitude,longitude
Brørup Fjernvarme,"Vandværksvej 5, 6650 Brørup, Denmark",55.482359,9.016868
Brovst Fjernvarme,"Bøge Bakker 3, 9460 Brovst, Denmark",57.101527,9.51623
Christiansfeld Fjernvarme,"Ravnhavevej 2, 6070 Christiansfeld, Denmark",55.364098,9.489832
Christiansø Kraftvarmeværk,"Christiansø, 3760 Gudhjem, Denmark",55.2123475,14.9712967
DIN Forsyning,"Ulvsundvej 1, 6715 Esbjerg N, Denmark",55.511826,8.496007
Dronninglund Fjernvarme,"Tidselbak Alle 18, 9330 Dronninglund, Denmark",57.163302,10.289065
Durup Fjernvarme,"Møllevej 8, 7870 Roslev, Denmark",56.743531,8.949137
Dybvad Varmeværk,"Jernbanegade 8A, 9352 Dybvad, Denmark",57.274651,10.359459
E.On Ørslev-Terslev Kraftvarmeanlæg,"Terslev Skolevej 23, 4690 Haslev, Denmark",55.372476,11.971803
Ebeltoft Fjernvarmeværk,"Hans Winthers Vej 9, 8400 Ebeltoft, Denmark",56.184557,10.686203
Egebjerg Nærvarme,"Gelstrupvej 3, 4500 Nykøbing Sjælland, Denmark",55.843631,11.686526
Egedal Fjernvarme,"Dam Holme 4B, 3660 Stenløse, Denmark",55.778092,12.19901
Egtved Varmeværk,"Søndergade 35, 6040 Egtved, Denmark",55.614177,9.310178
Ejerlauget Båstrup Park,"Dannevang 401, 3480 Fredensborg, Denmark",55.972235,12.426876
Ejsing Fjernvarmeforsyning,"Østparken 52, 7830 Vinderup, Denmark",56.522412,8.793305
Ejstrupholm Varmeværk,"Vandværksvej 12, 7361 Ejstrupholm, Denmark",55.983024,9.290848
Energi Hurup,"Nygade 22, 7760 Hurup Thy, Denmark",56.747943,8.419079
Energi Ikast Varme,"Europavej 2, 7430 Ikast, Denmark",56.123484,9.175813
Energi Vegger,"Skivumvej 2-4, 9240 Nibe, Denmark",56.887211,9.5746158
Energi Viborg,"Bøssemagervej 8, 8800 Viborg, Denmark",56.467389,9.406812
Energiselskabet v/Andelssamfundet i Hjortshøj,"Gammel Kirkevej 116A, 8530 Hjortshøj, Denmark",56.251517,10.272588
Engholm Varmecentral,"Rådhusvej 3, 3450 Allerød, Denmark",56.020136,12.197129
Farsø Varmeværk,"Johan Skjoldborgs Vej 12, 9640 Farsø, Denmark",57.011535,9.885479
Farum Fjernvarme,"Stavnsholtvej 33, 3520 Farum, Denmark",55.81356,12.389474
Faxe Fjernvarmeselskab,"Knudsvej 2, 4640 Faxe, Denmark",55.255159,12.115666
Feldborg Kraftvarmeværk,"Møllevej 4, 7540 Haderup, Denmark",56.33651,8.938414
Fensmark Fjernvarmeværk,"Engvej 4, 4684 Holmegaard, Denmark",55.284372,11.813504
FFV Varme,"Korsvangen 6A, 5750 Ringe, Denmark",55.246761,10.483217
Filskov Energiselskab,"Hjortlundvej 13, 7200 Grindsted, Denmark",55.804115,9.029835
Fjernvarme Fyn,"Havnegade 120, 5000 Odense C, Denmark",55.427821,10.405212
Fjernvarmecentralen Avedøre Holme,"Nordholmen 1-3, 2650 Hvidovre, Denmark",55.6124132,12.4726509
Fjerritslev Fjernvarme,"Industrivej 27, 9690 Fjerritslev, Denmark",57.082705,9.259868
Flauenskjold Varmeværk,"Agertoften 12, 9330 Dronninglund, Denmark",57.24799,10.286404
Føns Nærvarme,"Ronæsbrovej 5C, 5580 Nørre Åby, Denmark",55.428153,9.826301
Fors Varme,"Betonvej 12, 4000 Roskilde, Denmark",55.645789,12.125577
Forsyning Helsingør,"Haderslevvej 25, 3000 Helsingør, Denmark",56.025224,12.590461
Fredericia Fjernvarme,"Dalegade 38, 7000 Fredericia, Denmark",55.56759,9.760544
Frederiks Varmeværk,"Vestergade 5, 7470 Karup J, Denmark",56.340073,9.250647
Frederiksberg Forsyning,"Stæhr Johansens vej 38, 2000 Frederiksberg, Denmark",55.682949,12.520214
Frifelt/Roager Kraftvarme,"Voddervej 2, 6780 Skærbæk, Denmark",55.221699,8.833248
Frøstrup Fjernvarmeværk,"Håndværkervej 11, 7741 Frøstrup, Denmark",57.091045,8.981636
Fuglebjerg Fjernvarme,"Sandvedvej 31A, 4250 Fuglebjerg, Denmark",55.300166,11.540305
Fur Kraftvarmeværk Amba,"Vilietoften 4, 7884 Fur, Denmark",56.82027,9.006319
Galten Varmeværk,"Skolebakken 29, 8464 Galten, Denmark",56.152152,9.90594
Gartnernes Fjernvarmeselskaber,"Sanderumvej 16, 5260 Odense S, Denmark",55.366648,10.352295
Gassum/Hvidsten Kraftvarmeværk,"Mariagervej 497 A, 8981 Spentrup, Denmark",56.562098,9.999961
Gauerslund Fjernvarme,"Industrivej 2C, 7080 Børkop, Denmark",55.645217,9.657912
Gedsted Varmeværk,"Nørrevold 2B, 9631 Gedsted, Denmark",56.690392,9.336499
Gelsted Fjernvarme,"Tømmervej 3, 5591 Gelsted, Denmark",55.397073,9.969715
Genner-Hellevad-Hovslund,"Surbækvej 10, 6230 Rødekro, Denmark",55.077455,9.213744
