name,forsyid,CVRP,address,latitude,longitude
Føns Nærvarme,35419314,1018861131,"Ronæsbrovej 5C, 5580 Nørre Åby, Denmark",55.428153,9.826301
Forsyning Helsingør,32654193,1015712852,"Haderslevvej 25, 3000 Helsingør, Denmark",56.025224,12.590461
Fredericia Fjernvarme,35478116,1003045929,"Dalegade 38, 7000 Fredericia, Denmark",55.56759,9.760544
Frederiks Varmeværk,18552310,1001501791,"Vestergade 5, 7470 Karup J, Denmark",56.340073,9.250647
Frederiksberg Forsyning,28500769,1010272870,"Stæhr Johansens vej 38, 2000 Frederiksberg, Denmark",55.682949,12.520214
Fur Kraftvarmeværk Amba,18474492,1003452650,"Vilietoften 4, 7884 Fur, Denmark",56.82027,9.006319
Galten Varmeværk,43727516,1001843381,"Skolebakken 29, 8464 Galten, Denmark",56.152152,9.90594
Gauerslund Fjernvarme,10,1001440711,"Industrivej 2C, 7080 Børkop, Denmark",55.645217,9.657912
Gedsted Varmeværk,38864114,1001772848,"Nørrevold 2B, 9631 Gedsted, Denmark",56.690392,9.336499
Gelsted Fjernvarme,13148228,1000509106,"Tømmervej 3, 5591 Gelsted, Denmark",55.397073,9.969715
Gentofte Gladsaxe Fjernvarme,39272091,1003262352,"Bernstoffsvej 159, 2920 Charlottenlund, Denmark",55.7537,12.5918
Gilleleje Fjernvarme,59162616,1008891660,"Fiskerengen 2, 3250 Gilleleje, Denmark",56.110365,12.326442
Give Fjernvarme,38664018,1001770195,"Østerhovedvej 4, 7323 Give, Denmark",55.836377,9.25346
Gjøl Private Kraftvarmeværk,17063340,1001214793,"Drøvten 40, 9440 Åbybro, Denmark",57.070859,9.726565
Glamsbjerg-Haarby Varmeværk,25387910,1001582757,"Teglværksvej 10, 5620 Glamsbjerg, Denmark",55.276879,10.104626
Glyngøre Fjernvarmeværk,57762918,1002068790,"Durupvej 22, 7870 Roslev, Denmark",56.761408,8.87224
Gørding Varmeværk,20049928,1001519815,"Nørregade 55, 6690 Gørding, Denmark",55.473527,8.798912
Græsted Fjernvarme,42742511,1001830261,"Mesterbuen 8, 3230 Græsted, Denmark",56.057276,12.296962
Gram Fjernvarme,36294515,1001743992,"Sønderbyvej 24, 6510 Gram, Denmark",55.280831,9.046928
Greve  Fjernvarme,33912773,1017198617,"Over Bølgen 4, 2670 Greve, Denmark",55.597516,12.326797
Gudenådalens Energiselskab,17256319,1001252921,"Realskolevej 18, 8850 Bjerringbro, Denmark",56.376752,9.655288
Haderslev Fjernvarme,58061212,1003123407,"Fjordagervej 15, 6100 Haderslev, Denmark",55.2475,9.502347
Haderup Kraftvarmeværk,17761889,1007842267,"Ørnevej 13, 7540 Haderup, Denmark",56.391805,8.990433
Hadsten Varmeværk,67750411,1002257575,"Toftegårdsvej 30A, 8370 Hadsten, Denmark",56.318152,10.032703
Hadsund Fjernvarme,60567719,1002116755,"Fabriksvej 1, 9560 Hadsund, Denmark",56.729705,10.109129
Hals Fjernvarme,22662910,1001549704,"Bygmestervej 9-11, 9370 Hals, Denmark",57.0017161,10.2986671
