name,forsyid
Sindal Varmeforsyning,59426915
Skærbæk Fjernvarme,30990714
Skagen Varmeværk,33507410
Skals Kraftvarmeværk,11278612
Skanderborg-Hørning Fjernvarme,37949019
Skårup Fjernvarme,26832217
Skive Fjernvarme,68326214
Skjern Fjernvarme,46076915
Skørping Varmeværk,18496607
Skovlund Varmeværk,14454918
Skuldelev Energiselskab,19153908
Slagslunde Fjernvarme,34937257
Smørum Kraftvarme,21445711
Solrød Fjernvarme,23104113
Stege Fjernvarme,56353712
Stenstrup Fjernvarme,64289713
Stoholm Fjernvarmeværk,68738016
Støvring Kraftvarmeværk,16276111
Strandby Varmeværk,42615919
Struer Energi,26203562
Svebølle-Viskinge Fjernvarmeselskab,15427078
Svendborg Fjernvarme,22113410
Sydfalster Varmeværk,17360698
Sydlangeland Fjernvarme,17048244
Tarm Varmeværk,40893113
Tårnby Forsyning,44185865
Terndrup Fjernvarme,15608943
Thisted Varmeforsyning,30992512
Thorsager Fjernvarmeværk,12575130
Thorshøj Kraftvarmeværk,19470695
Thorsminde Varmeværk,17168037
Thorsø Fjernvarmeværk,22883313
Thyborøn Fjernvarme,16888079
Tim Kraftvarmeværk,14528601
Tistrup Varmeværk,10877814
Toftlund Fjernvarme,63690619
Tommerup Bys Fjernvarmeforsyning,18292610
Tørring Kraftvarmeværk,28709714
Tranbjerg Varmeværk,33016719
Trefor Varme,17010131
Troldhede Kraftvarmeværk,38073117
Trustrup-Lyngby Varmeværk,20095806
Tversted Kraftvarmeværk,17590286
Uldum Varmeværk,16500313
Ulfborg Fjernvarme,13231028
Ulsted Varmeværk,34916810
Vallensbæk Fjernvarme Nord,51718011
Vallensbæk Fjernvarme Syd,25009215
Vamdrup Fjernvarme,55946817
Vejby-Tisvilde Fjernvarme,19746933
Vejle Fjernvarme,67932218
Vemb Varmeværk,27360912
Verdo Varme,25482026
Vestervig Fjernvarme,63195111
Vestforsyning Varme,26704065
Viborg Varme,41897597
Videbæk Energiforsyning,33258453
Vinderup Varmeværk,31220912
Vivild Varmeværk,70555018
Voerså Kraftvarmeværk,16920274
Vojens Fjernvarme,28032617
Vordingborg Fjernvarme,30692446
Vorupør Kraftvarmeværk,18021080
Vrå Varmeværk,64771728
Hallund Kraftvarmeværk,17932640
Skovsgaard Varmeværk,61668713
Blenstrup Kraftvarmeværk,17025686
Fjernvarme Horsens,00000003
Assentoft Forsyning,43649361
Din Forsyning A/S,00000006
Rårup Fællesvarme,43513109
Daugård Fællesvarme,41228784
Trefor Varme,17010131
Ffv Varme Faaborg,26721059
Nfs Varme,29826641
