name,address
Havndal Fjernvarme,"Laursensvej 4, 8970 Havndal, Denmark"
Havneby Varmeværk,"c/o Læssevej 7, 6780 Skærbæk, Denmark"
Hedensted Fjernvarme,"Løsningvej 26, 8722 Hedensted, Denmark"
Hejnsvig Varmeværk,"Østermarksvej 25, 7250 Hejnsvig, Denmark"
Helsinge Fjernvarme,"Skovgårdsvej 4A, 3200 Helsinge, Denmark"
Hemmet Varmeværk,"Bandsbølvej 28C, 6893 Hemmet, Denmark"
Hillerød Forsyning,"Ægirsvej 4, 3400 Hillerød, Denmark"
Hinnerup Fjernvarme,"Fanøvej 15, 8382 Hinnerup, Denmark"
Hirtshals Fjernvarme,"Søndergade 14, 9850 Hirtshals, Denmark"
Hjallerup Fjernvarme,"Gravensgade 18, 9320 Hjallerup, Denmark"
Hjordkær Fjernvarmeværk,"Grønhøj 13, 6230 Rødekro, Denmark"
Hjørring Varmeforsyning,"Buen 7, 9800 Hjørring, Denmark"
Hobro Varmeværk,"Lupinvej 21, 9500 Hobro, Denmark"
HOFOR,"Ørestads Boulevard 35, 2300 København S, Denmark"
Høje Taastrup Fjernvarme,"Malervej 7A, 2630 Taastrup, Denmark"
Højslev Nr.Søby Fjernvarmeværk,"Søbyvej 48A, 7840 Højslev, Denmark"
Holeby Fjernvarme,"Industrivej 1, 4960 Holeby, Denmark"
Holme-Lundshøj Fjernvarme,"Holme Byvej 14, 8270 Højbjerg, Denmark"
Holsted Varmeværk,"Overgade 11, 6670 Holsted, Denmark"
Holte Fjernvarme,"Skovlytoften 5, 2840 Holte, Denmark"
Høng Varmeværk,"Banemarken 8, 4270 Høng, Denmark"
Hørby Varmeværk,"Hjørringvej 101, 9300 Sæby, Denmark"
Hornbæk Fjernvarme,"Lille Evaldsvej 5, 3100 Hornbæk, Denmark"
Hornslet Fjernvarme,"Amaliegårdvej 7, 8543 Hornslet, Denmark"
Hovedgaard Fjernvarmeværk,"Frydsvej 18, 8732 Hovedgård, Denmark"
Hundested Varmeværk,"Håndværkervej 14, 3390 Hundested, Denmark"
Hundslund-Oldrup Kraftvarmeværk,"Guldagervej 4C, 8350 Hundslund, Denmark"
Hvalpsund Kraftvarme,"Hestbækvej 21, 9640 Farsø, Denmark"
Hvalsø Kraftvarmeværk,"Åsvejen 12, 4330 Hvalsø, Denmark"
Hvidbjerg Fjernvarme,"Håndværkervej 2, 7790 Thyholm, Denmark"
Hvide Sande Fjernvarme,"Numitvej 25, 6960 Hvide Sande, Denmark"
Hvidebæk Fjernvarmeforsyning,"Hovvej 37A, 4490 Jerslev Sjælland, Denmark"
Hvidovre Fjernvarme,"Arnold Nielsens Boulevard 60, 1, 2650 Hvidovre, Denmark"
Hyllinge-Menstrup Kraftvarme,"Smedevangen 4, 4700 Næstved, Denmark"
Ingstrup Fjernvarme,"Hesteskoen 11, 9480 Løkken, Denmark"
Ishøj Varmeværk,"Industrivangen 34, 2635 Ishøj, Denmark"
Jægerspris Kraftvarme,"Håndværkervej 9, 3630 Jægerspris, Denmark"
Jelling Varmeværk,"Nordkrogen 20 B, 7300 Jelling, Denmark"
Jerslev Varmeværk,"Palægade 6, 9740 Jerslev J, Denmark"
Jetsmark Energiværk,"Nørregade 81, 9490 Pandrup, Denmark"
Jyderup Varme A/S, "Lyngvej 6, 4450 Jyderup, Denmark", 
Kalundborg Varmeforsyning,"Dokhavnsvej 15, 4400 Kalundborg, Denmark"
Karup Varmeværk,"Godthåbsvej 2, 7470 Karup J, Denmark"
Kerteminde Forsyning,"Kohaven 12A, 5300 Kerteminde, Denmark"
Kibæk Varmeværk,"Energivej 6, 6933 Kibæk, Denmark"
Kjellerup Fjernvarme,"Industriparken 10, 8620 Kjellerup, Denmark"
KLAR Forsyning,"Revlen 2, 4600 Køge, Denmark"
