forsyid,area_size
57762918,385491.4621527749
57858311,2051790.8874842618
57871628,2332198.819094425
58061212,12671789.191654585
58113719,541841.8956021068
58176613,4947358.945724828
59162616,2678991.698729578
59352318,1613874.2844624277
59426915,2421905.5618816614
60094411,1830014.800927083
60183112,687971.537890844
60247412,4531928.1697627455
60567719,5030054.514292318
61668713,878949.6800751602
61877215,4348570.925156058
62082313,1779370.2839540394
62749814,1118058.5194643496
63195111,1497649.0949436142
63234214,1656958.839391234
63446319,4744603.39734368
63690619,1793521.3044144595
64235818,1836334.1120064994
64289713,897588.5227903196
64429418,6587489.218460467
64463411,1314508.4233333527
64544616,16685763.859643376
64728210,3294213.494847222
64761919,1829264.1837676833
64771728,1936322.1865331368
64831712,2639518.430550533
65307316,10367370.398873743
66137112,10404519.893813772
66211118,3080835.220634669
67037111,2357824.590125104
67247817,1474443.8205225174
67302028,320329.3743799644
67750411,7031776.926751684
67932218,9881959.580266133
68326214,13666124.869685885
68726018,2938419.5809858497
68738016,1904232.9565238133
69330428,10320990.95914332
69914128,2611868.339434384
69995713,23321712.299800716
70555018,1219767.3676741607
70831112,2014977.3925272636
70874814,2572789.1850332282
73613310,50163.07781164921
76326118,1296538.2129289191
81815119,584217.2126067423
89711215,3038071.5959897605
99999999,401307.6002982173
